timestamp,x,y,theta,vx,vy,omega,leftVel,rightVel,imuYaw,gyroZ,accelX,accelY
4084801810,0,0,0.384766,0,0,0.118182,0,0,24.25,0.13,-0.03,-0.08
4084801910,0,0,0.404631,0,0,0.0733855,0,0,24.25,0.06,-0.03,-0.06
4084802013,0,0,0.412197,0,0,0.1002,0,0,24.25,0.13,-0.02,-0.05
4084802113,0,0,0.416403,0,0,0.0684992,0,0,24.25,0.06,-0.03,-0.05
4084802214,0,0,0.419049,0,0,0.098274,0,0,24.25,0.13,-0.02,-0.05
4084802314,0,0,0.420564,0,0,-0.0419738,0,0,24.25,-0.13,-0.03,-0.08
4084802414,0,0,0.421177,0,0,0.020515,0,0,24.25,0.06,-0.03,-0.07
4084802515,0,0,0.421749,0,0,-0.0277576,0,0,24.25,-0.06,-0.04,-0.04
4084802615,0,0,0.421751,0,0,-0.0084516,0,0,24.25,-0.13,-0.02,-0.03
4084802715,0,0,0.422094,0,0,-0.00676058,0,0,24.25,0,-0.02,-0.06
4084802816,0,0,0.422854,0,0,0.0829305,0,0,24.25,0.13,-0.04,-0.05
4084802915,0,0,0.423564,0,0,0.0663442,0,0,24.25,0,-0.04,-0.05
4084803015,0,0,0.423961,0,0,0.0530742,0,0,24.25,0,-0.03,-0.05
4084803116,0,0,0.424154,0,0,0.0424571,0,0,24.25,0,-0.02,-0.08
4084803216,0,0,0.423573,0,0,-0.0325343,0,0,24.25,-0.06,-0.02,-0.06
4084803317,0,0,0.423246,0,0,-0.00260274,0,0,24.25,0,-0.02,-0.03
4084803417,0,0,0.423823,0,0,0.0849183,0,0,24.25,0.13,-0.03,-0.09
4084803518,0,0,0.424286,0,0,0.0679337,0,0,24.25,0,-0.04,-0.06
4084803618,0,0,0.424523,0,0,0.0580565,0,0,24.25,0.06,-0.03,-0.04
4084803719,0,0,0.424601,0,0,0.046444,0,0,24.25,0,-0.04,-0.07
4084803820,0,0,0.424954,0,0,0.0980808,0,0,24.25,0.13,-0.04,-0.05
4084803921,0,0,0.42516,0,0,0.0676294,0,0,24.25,0.06,-0.04,-0.07
4084804023,0,0,0.425293,0,0,0.0980502,0,0,24.25,0.13,0,-0.06
4084804125,0,0,0.425554,0,0,0.010825,0,0,24.25,0.13,-0.02,-0.04
4084804225,0,0,0.425009,0,0,0.00865887,0,0,24.25,0,-0.02,-0.07
4084804325,0,0,0.424347,0,0,-0.0367362,0,0,24.25,-0.06,-0.02,-0.08
4084804425,0,0,0.423781,0,0,-0.0293894,0,0,24.25,0,-0.02,-0.07
4084804525,0,0,0.423273,0,0,-0.047449,0,0,24.25,-0.06,-0.02,-0.07
4084804626,0,0,0.423169,0,0,0.0195186,0,0,24.25,0.06,-0.03,-0.06
4084804726,0,0,0.42303,0,0,-0.0687019,0,0,24.25,-0.13,-0.03,-0.08
4084804826,0,0,0.422576,0,0,-0.0578744,0,0,24.25,-0.06,-0.02,-0.06
4084804926,0,0,0.422669,0,0,0.0556129,0,0,24.25,0.13,-0.04,-0.05
4084805026,0,0,0.42323,0,0,0.0444903,0,0,24.25,0,-0.01,-0.06
4084805127,0,0,0.423558,0,0,0.0355918,0,0,24.25,0,-0.03,-0.09
4084805227,0,0,0.423732,0,0,0.0284723,0,0,24.25,0,-0.02,-0.05
4084805327,0,0,0.423808,0,0,0.0227761,0,0,24.25,0,-0.03,-0.07
4084805428,0,0,0.424686,0,0,0.098436,0,0,24.25,0.13,-0.03,-0.07
4084805528,0,0,0.425015,0,0,0.0787467,0,0,24.25,0,-0.03,-0.06
4084805628,0,0,0.425097,0,0,0.0610204,0,0,24.25,0.06,-0.04,-0.07
4084805729,0,0,0.425071,0,0,0.0553815,0,0,24.25,0.06,-0.02,-0.06
4084805829,0,0,0.424614,0,0,-0.0566316,0,0,24.25,-0.13,-0.02,-0.05
4084805929,0,0,0.423801,0,0,-0.0538014,0,0,24.25,-0.06,-0.02,-0.05
4084806030,0,0,0.423454,0,0,0.0165232,0,0,24.25,0.06,-0.02,-0.06
