timestamp,x,y,theta,vx,vy,omega,leftVel,rightVel,imuYaw,gyroZ,accelX,accelY
4085191062,0,0,-1.18508,0,0,-0.118182,0,0,285.31,-0.13,-0.01,-0.06
4085191162,0,0,-1.24497,0,0,0.000124335,0,0,285.31,0.06,-0.01,-0.07
4085191264,0,0,-1.267,0,0,7.74337e-05,0,0,285.31,0,-0.01,-0.08
4085191365,0,0,-1.2788,0,0,2.68879e-05,0,0,285.31,0,-0.02,-0.06
4085191465,0,0,-1.28646,0,0,-0.041315,0,0,285.31,-0.06,-0.02,-0.05
4085191566,0,0,-1.2917,0,0,-0.0489632,0,0,285.31,-0.06,-0.02,-0.07
4085191666,0,0,-1.29535,0,0,-0.0391763,0,0,285.31,0,-0.01,-0.08
4085191766,0,0,-1.29789,0,0,-0.0313496,0,0,285.31,0,-0.02,-0.08
4085191866,0,0,-1.29967,0,0,-0.025089,0,0,285.31,0,0,-0.07
4085191967,0,0,-1.30118,0,0,-0.0482954,0,0,285.31,-0.06,-0.01,-0.08
4085192068,0,0,-1.30249,0,0,-0.092745,0,0,285.31,-0.13,0,-0.08
4085192168,0,0,-1.30346,0,0,-0.0741961,0,0,285.31,0,0,-0.09
4085192268,0,0,-1.30404,0,0,-0.0593562,0,0,285.31,0,-0.02,-0.08
4085192369,0,0,-1.3048,0,0,-0.104252,0,0,285.31,-0.13,-0.02,-0.07
4085192469,0,0,-1.30516,0,0,-0.069589,0,0,285.31,-0.06,0,-0.07
4085192570,0,0,-1.30524,0,0,-0.05567,0,0,285.31,0,-0.01,-0.07
4085192673,0,0,-1.3048,0,0,0.00237254,0,0,285.31,0.06,-0.01,-0.04
4085192773,0,0,-1.30414,0,0,0.0770198,0,0,285.31,0.13,-0.01,-0.09
4085192873,0,0,-1.30343,0,0,0.0606802,0,0,285.31,0.06,-0.01,-0.07
4085192974,0,0,-1.30301,0,0,0.0551673,0,0,285.31,0.06,-0.01,-0.07
4085193074,0,0,-1.30273,0,0,0.0533053,0,0,285.31,0.06,0,-0.08
4085193175,0,0,-1.30254,0,0,0.0526765,0,0,285.31,0.06,-0.01,-0.1
4085193275,0,0,-1.3024,0,0,0.0524642,0,0,285.31,0.06,-0.01,-0.07
4085193376,0,0,-1.30231,0,0,0.0523925,0,0,285.31,0.06,-0.01,-0.08
4085193476,0,0,-1.30246,0,0,-0.0169977,0,0,285.31,-0.06,-0.02,-0.09
4085193576,0,0,-1.30275,0,0,0.0289451,0,0,285.31,0.06,-0.01,-0.08
4085193677,0,0,-1.30292,0,0,-0.0249125,0,0,285.31,-0.06,-0.02,-0.08
4085193776,0,0,-1.30328,0,0,-0.0199302,0,0,285.31,0,-0.01,-0.06
4085193877,0,0,-1.30351,0,0,-0.0159443,0,0,285.31,0,-0.02,-0.07
4085193978,0,0,-1.30288,0,0,0.085404,0,0,285.31,0.13,-0.02,-0.07
4085194078,0,0,-1.30227,0,0,0.0104723,0,0,285.31,0.13,0,-0.04
4085194178,0,0,-1.30285,0,0,-0.0718023,0,0,285.31,-0.13,-0.01,-0.08
4085194278,0,0,-1.30357,0,0,-0.0574419,0,0,285.31,0,-0.01,-0.07
4085194379,0,0,-1.3036,0,0,0.0231765,0,0,285.31,0.06,0,-0.06
4085194479,0,0,-1.30343,0,0,0.0185411,0,0,285.31,0,-0.01,-0.07
4085194580,0,0,-1.30287,0,0,0.0903857,0,0,285.31,0.13,-0.03,-0.08
4085194680,0,0,-1.3024,0,0,0.0723076,0,0,285.31,0,-0.02,-0.07
4085194782,0,0,-1.30219,0,0,0.0592587,0,0,285.31,0.06,-0.02,-0.07
4085194882,0,0,-1.30213,0,0,0.0474057,0,0,285.31,0,-0.02,-0.09
4085194984,0,0,-1.30218,0,0,0.0379223,0,0,285.31,0,-0.01,-0.08
