azimuth_deg,distance_m,rssi
45.5,0.216,161
45.7,0.208,162
45.9,0.203,165
46.1,0.201,164
46.3,0.195,166
46.5,0.194,166
46.7,0.194,166
46.9,0.192,168
47.1,0.192,164
47.3,0.19,167
47.5,0.187,167
47.7,0.185,167
47.9,0.182,168
48.1,0.18,168
48.3,0.18,166
48.5,0.176,169
48.7,0.177,166
48.9,0.175,169
49.1,0.174,168
49.3,0.174,168
49.5,0.173,170
49.7,0.173,168
49.9,0.172,169
50.1,0.175,169
50.3,0.174,168
50.5,0.166,173
50.7,0.164,173
50.9,0.165,173
51.1,0.166,174
51.3,0.168,175
51.5,0.168,176
51.7,0.168,175
51.9,0.167,176
52.1,0.167,176
52.3,0.167,176
52.5,0.167,176
52.7,0.166,177
52.9,0.168,175
53.1,0.167,176
53.3,0.167,175
53.5,0.165,174
53.7,0.164,174
53.9,0.167,172
54.1,0.167,169
54.3,0.166,168
54.5,0.161,167
54.7,0.166,163
54.9,0.166,160
55.1,0.169,158
55.3,0.168,160
55.5,0.172,151
57.9,3.102,5
58.1,3.117,11
58.3,3.131,9
58.5,3.172,10
58.7,3.166,11
58.9,3.204,17
59.3,3.294,31
59.5,3.288,35
59.7,3.278,39
59.9,3.269,39
60.1,3.263,39
60.3,3.257,39
60.5,3.25,39
60.7,3.244,40
60.9,3.235,40
61.1,3.227,40
61.3,3.22,41
61.5,3.213,41
61.7,3.206,42
61.9,3.2,42
62.1,3.191,43
62.3,3.185,43
62.5,3.18,43
62.7,3.175,44
62.9,3.169,44
63.1,3.163,45
63.3,3.158,45
63.5,3.151,45
63.7,3.144,46
63.9,3.14,47
64.1,3.134,47
64.3,3.127,47
64.5,3.12,47
64.7,3.116,48
64.9,3.113,48
65.1,3.104,48
65.3,3.097,49
65.5,3.093,49
65.7,3.086,49
65.9,3.078,50
66.1,3.07,45
66.3,3.061,41
66.5,3.06,45
66.7,3.062,47
66.9,3.058,48
67.1,3.055,48
67.3,3.021,45
67.5,2.989,43
67.7,2.982,45
67.9,2.985,42
68.1,2.991,37
68.3,2.985,34
68.5,2.961,38
68.7,2.952,45
68.9,2.952,47
69.1,2.958,46
69.3,2.968,40
69.5,2.979,34
69.7,2.952,33
69.9,2.912,37
70.1,2.906,47
70.3,2.908,51
70.5,2.917,42
70.7,2.961,34
70.9,2.954,37
71.1,2.911,41
71.3,2.9,45
71.7,0.117,169
71.9,0.114,174
72.1,0.11,181
72.3,0.117,180
72.5,0.115,183
72.7,0.115,185
72.9,0.118,186
73.1,0.12,186
73.3,0.118,186
73.5,0.117,186
73.7,0.116,187
73.9,0.116,187
74.1,0.116,187
74.3,0.116,187
74.5,0.119,186
74.7,0.119,184
74.9,0.117,185
75.1,0.114,184
75.3,0.115,185
75.5,0.116,181
75.7,0.118,176
75.9,0.113,175
76.1,0.111,162
76.3,2.87,46
76.5,2.866,52
76.7,2.866,50
76.9,2.874,43
77.1,2.869,42
77.3,2.855,46
77.5,2.847,44
77.7,2.831,39
77.9,2.81,46
78.1,2.805,48
78.3,2.81,42
78.5,2.828,38
78.9,2.891,47
79.1,2.896,50
79.3,2.908,45
79.7,3.05,40
79.9,3.052,39
80.1,3.051,40
80.3,3.049,40
80.5,3.044,40
81.3,2.365,32
81.5,2.36,32
81.7,2.357,32
81.9,2.356,32
82.1,2.359,32
82.3,2.358,31
82.5,2.332,30
82.7,2.308,30
82.9,2.303,31
83.1,2.299,31
83.3,2.298,31
83.5,2.297,31
83.7,2.301,31
83.9,2.301,31
84.1,2.301,31
84.3,2.3,31
84.5,2.298,31
84.7,2.296,31
84.9,2.294,31
85.1,2.29,32
85.3,2.287,32
85.5,2.285,32
85.7,2.281,32
85.9,2.277,32
86.1,2.276,32
86.3,2.273,32
86.5,2.27,32
86.7,2.268,33
86.9,2.267,33
87.1,2.265,33
87.3,2.263,33
87.5,2.26,33
87.7,2.26,33
87.9,2.26,33
88.1,2.26,33
88.3,2.258,32
88.5,2.258,33
88.7,2.257,33
88.9,2.256,33
89.1,2.255,33
89.3,2.255,33
89.5,2.255,33
89.7,2.254,33
89.9,2.254,33
90.1,2.254,33
90.3,2.254,33
90.5,2.255,33
90.7,2.255,33
90.9,2.254,32
91.1,2.254,32
91.3,2.251,33
91.5,2.25,33
91.7,2.248,33
91.9,2.244,33
92.1,2.243,33
92.3,2.242,33
92.5,2.241,33
92.7,2.239,33
92.9,2.239,33
93.1,2.24,33
93.3,2.247,32
93.5,2.26,30
93.7,2.295,30
93.9,2.299,31
94.1,2.297,31
94.3,2.294,31
94.5,2.292,32
94.7,2.291,33
94.9,2.29,33
95.1,2.294,32
95.3,2.305,33
95.5,2.397,51
95.9,2.872,61
96.3,2.739,41
96.7,2.417,42
96.9,2.398,40
97.1,2.321,38
97.3,2.285,39
97.5,2.279,43
97.7,2.279,44
97.9,2.281,42
98.1,2.295,40
98.3,2.359,45
98.7,2.771,44
98.9,2.782,47
99.1,2.782,46
99.3,2.777,40
99.5,2.777,40
99.7,2.793,46
99.9,2.805,49
100.1,2.803,46
100.3,2.793,39
100.5,2.789,37
100.7,2.798,40
100.9,2.797,37
101.1,2.797,36
101.3,2.824,42
101.5,2.848,51
101.7,2.862,54
101.9,2.868,55
102.1,2.874,55
102.3,2.885,56
102.5,2.894,55
102.7,2.895,55
102.9,2.883,48
103.1,2.846,38
103.3,2.835,33
103.5,2.87,40
103.7,2.879,38
103.9,2.87,32
104.1,2.907,40
104.3,2.935,52
104.5,2.937,54
104.7,2.914,41
104.9,2.868,32
105.1,2.913,41
105.3,2.944,53
105.5,2.94,50
105.7,2.853,43
105.9,2.837,42
106.1,2.839,42
106.3,2.844,43
106.5,2.868,49
106.7,2.936,52
106.9,2.953,40
107.1,2.909,31
107.3,2.864,29
107.5,2.847,29
107.7,2.839,29
107.9,2.844,29
108.3,2.943,38
108.5,2.968,48
108.7,2.992,54
108.9,3.001,56
109.1,3.003,56
109.3,3.004,56
109.5,3.002,55
110.3,2.541,36
110.5,2.536,39
110.7,2.546,37
110.9,2.619,37
111.1,2.891,30
111.3,2.878,30
111.5,2.861,29
111.7,2.854,29
111.9,2.857,29
112.1,2.899,32
112.3,2.912,32
112.5,2.932,34
112.7,2.943,36
113.5,2.581,36
113.7,2.583,41
113.9,2.635,50
114.3,3.076,36
114.5,3.045,29
114.7,3.098,35
114.9,3.11,43
115.1,3.117,42
115.3,3.112,35
115.7,2.843,33
115.9,2.812,35
116.1,2.792,35
116.3,2.773,35
116.5,2.759,35
116.7,2.743,35
116.9,2.725,35
117.1,2.713,35
117.3,2.701,35
117.5,2.689,35
117.7,2.677,35
117.9,2.665,35
118.1,2.654,36
118.3,2.645,37
118.5,2.637,38
118.7,2.635,39
118.9,2.635,39
119.1,2.633,40
119.3,2.632,41
119.5,2.631,40
119.7,2.629,40
119.9,2.625,41
120.1,2.626,39
120.3,2.628,38
120.5,2.629,39
120.7,2.631,39
120.9,2.633,41
121.1,2.635,39
121.3,2.639,42
121.5,2.641,45
121.7,2.646,43
121.9,2.652,42
122.1,2.661,42
122.3,2.671,42
122.5,2.69,42
122.7,2.71,44
122.9,2.714,46
123.1,2.718,45
123.3,2.723,40
123.5,2.756,34
124.1,2.926,31
124.3,2.908,32
124.5,2.893,31
124.7,2.886,33
124.9,2.916,43
125.1,2.961,50
125.5,3.432,46
125.7,3.437,46
126.3,3.26,48
126.7,3.142,52
127.1,3.502,46
127.3,3.514,46
127.5,3.521,45
127.7,3.529,45
127.9,3.533,45
128.1,3.512,42
128.3,3.481,40
128.5,3.473,41
128.7,3.473,41
128.9,3.474,40
129.1,3.473,41
129.3,3.474,41
129.5,3.475,41
129.7,3.475,40
129.9,3.476,40
130.1,3.476,40
130.3,3.476,41
130.5,3.477,41
130.7,3.478,41
130.9,3.479,40
131.1,3.478,40
131.3,3.479,40
131.5,3.48,40
131.7,3.481,41
131.9,3.481,41
132.1,3.481,41
132.3,3.482,41
132.5,3.483,41
132.7,3.483,41
132.9,3.484,41
133.1,3.485,41
133.3,3.486,40
133.5,3.486,40
133.7,3.487,40
133.9,3.489,38
134.1,3.492,38
134.3,3.492,38
134.5,3.495,36
134.7,3.499,35
134.9,3.507,32
135.1,3.506,33
135.3,3.503,34
135.5,3.505,34
135.7,3.508,33
135.9,3.506,33
136.1,3.509,34
136.5,2.836,52
136.7,2.787,49
137.1,2.686,32
137.3,2.685,34
137.5,2.691,34
137.7,2.748,49
