azimuth_deg,distance_m,rssi
45.5,0.167,178
45.7,0.194,174
45.9,0.218,171
46.1,0.269,160
46.9,0.508,107
47.1,0.514,105
47.3,0.511,105
47.5,0.512,106
47.7,0.515,103
47.9,0.517,98
48.5,2.915,30
48.7,2.926,28
48.9,2.938,27
49.1,2.956,27
49.3,2.97,27
49.5,2.983,27
49.7,2.996,27
49.9,3.011,27
50.1,3.026,27
50.3,3.042,28
50.5,3.054,28
50.7,3.073,28
50.9,3.084,28
51.1,3.099,27
51.3,3.118,28
51.5,3.132,27
51.7,3.151,27
51.9,3.167,29
52.1,3.183,29
52.3,3.201,30
52.5,3.261,35
52.7,3.271,40
52.9,3.268,40
53.1,3.263,40
53.3,3.254,41
53.5,3.248,41
53.7,3.239,41
53.9,3.232,41
54.1,3.223,42
54.3,3.219,42
54.5,3.213,42
54.7,3.206,42
54.9,3.198,43
55.1,3.191,43
55.3,3.185,43
55.5,3.179,43
55.7,3.174,44
56.1,3.162,44
56.3,3.158,45
56.5,3.152,45
56.9,3.138,46
57.1,3.132,46
57.5,3.119,46
57.7,3.113,47
58.1,3.102,48
58.3,3.097,48
58.7,3.086,48
58.9,3.075,47
59.1,3.065,42
59.3,3.058,41
59.5,3.058,45
59.7,3.059,47
59.9,3.055,47
60.1,3.05,47
60.3,0.107,170
60.5,0.106,174
60.7,0.102,179
60.9,0.101,182
61.1,0.105,186
61.3,0.103,184
61.5,0.103,186
61.7,0.106,187
61.9,0.106,187
62.1,0.105,188
62.3,0.104,190
62.5,0.102,189
62.7,0.102,189
62.9,0.1,191
63.1,0.101,191
63.3,0.101,190
63.5,0.101,189
63.7,0.102,189
63.9,0.105,188
64.1,0.105,188
64.3,0.104,188
64.5,0.1,188
64.7,0.1,186
64.9,0.102,186
65.1,0.101,183
65.3,0.099,179
65.5,0.098,176
65.7,0.104,164
65.9,2.913,43
66.1,2.93,38
66.3,3.004,43
66.5,2.986,49
66.7,2.923,49
66.9,2.908,53
67.1,2.906,50
67.3,2.9,46
67.5,2.884,47
67.7,2.874,51
67.9,2.872,52
68.1,2.878,46
68.3,2.883,41
68.5,2.89,43
68.7,2.899,42
68.9,2.908,39
69.1,2.884,40
69.3,2.867,45
69.5,2.864,49
69.7,2.871,46
69.9,2.874,40
70.1,2.859,41
70.3,2.849,45
70.5,2.845,46
70.7,2.836,38
70.9,2.805,36
71.1,2.795,45
71.3,2.796,47
71.5,2.801,44
71.9,2.881,38
72.1,2.883,47
72.3,2.883,51
72.5,2.896,45
72.9,3.048,40
73.1,3.048,40
73.3,3.047,41
73.5,3.038,41
74.3,2.355,32
74.5,2.352,33
74.7,2.351,33
74.9,2.352,33
75.1,2.354,33
75.3,2.348,31
75.5,2.319,31
75.7,2.304,31
75.9,2.3,31
76.1,2.297,31
76.3,2.298,31
76.5,2.299,32
76.7,2.301,31
76.9,2.302,31
77.1,2.301,31
77.3,2.298,31
77.5,2.295,31
77.7,2.292,32
77.9,2.289,32
78.1,2.287,32
78.3,2.286,31
78.5,2.284,32
78.7,2.28,32
78.9,2.276,32
79.1,2.274,32
79.3,2.271,32
79.5,2.268,32
79.7,2.266,33
79.9,2.265,32
80.1,2.26,33
80.3,2.259,33
80.5,2.257,33
80.7,2.255,33
80.9,2.253,34
81.1,2.253,33
81.3,2.252,33
81.5,2.252,33
81.7,2.252,33
81.9,2.25,33
82.1,2.249,33
82.3,2.248,34
82.5,2.248,33
82.7,2.247,34
82.9,2.246,33
83.1,2.246,34
83.3,2.248,33
83.5,2.247,33
83.7,2.247,34
83.9,2.247,34
84.1,2.247,34
84.3,2.246,33
84.5,2.247,33
84.7,2.248,34
84.9,2.246,33
85.1,2.245,33
85.3,2.242,33
85.5,2.238,33
85.7,2.235,33
85.9,2.234,34
86.1,2.235,34
86.3,2.241,32
86.5,2.259,30
86.7,2.292,30
86.9,2.294,31
87.1,2.292,31
87.3,2.289,32
87.5,2.286,32
87.7,2.284,32
87.9,2.285,32
88.1,2.288,33
88.3,2.319,36
88.9,2.873,60
89.3,2.726,41
89.7,2.418,42
89.9,2.412,43
90.1,2.372,41
90.3,2.319,40
90.5,2.288,37
90.7,2.285,38
90.9,2.296,39
91.1,2.341,44
91.7,2.757,44
91.9,2.76,43
92.1,2.765,44
92.3,2.768,44
92.5,2.768,45
92.7,2.77,45
92.9,2.773,44
93.1,2.776,45
93.3,2.776,44
93.5,2.777,44
93.7,2.779,43
93.9,2.78,43
94.1,2.782,43
94.3,2.784,43
94.5,2.786,43
94.7,2.788,43
94.9,2.79,42
95.1,2.793,41
95.3,2.796,41
95.5,2.797,42
95.7,2.799,42
95.9,2.8,42
96.1,2.802,42
96.3,2.805,42
96.5,2.81,41
96.7,2.811,41
96.9,2.813,40
97.1,2.815,40
97.3,2.82,40
97.5,2.823,41
97.7,2.825,39
97.9,2.827,39
98.1,2.832,41
98.3,2.841,43
98.5,2.842,42
98.7,2.838,40
98.9,2.837,41
99.1,2.84,41
99.3,2.845,41
99.5,2.856,44
99.7,2.873,44
99.9,2.873,38
100.1,2.868,34
100.3,2.867,33
100.5,2.869,34
100.7,2.873,35
100.9,2.903,41
101.3,2.989,57
101.5,2.993,57
101.7,2.997,58
101.9,2.999,58
102.1,3,58
102.3,3.001,58
102.5,2.969,57
102.9,2.629,41
103.1,2.552,34
103.3,2.534,37
103.5,2.49,38
103.7,2.466,38
103.9,2.462,38
104.1,2.472,38
104.3,2.518,39
104.7,2.969,37
104.9,3.008,45
105.1,3,43
105.3,2.956,37
105.5,2.947,34
105.7,2.946,34
106.1,2.665,35
106.3,2.593,34
106.5,2.588,37
106.7,2.616,46
107.3,3.074,37
107.5,3.049,30
107.7,3.091,39
107.9,3.097,43
108.1,3.106,36
108.3,3.105,29
108.9,2.814,35
109.1,2.794,35
109.3,2.776,35
109.5,2.76,36
109.7,2.744,36
109.9,2.726,36
110.1,2.714,36
110.3,2.699,35
110.5,2.69,35
110.7,2.68,35
110.9,2.668,35
111.1,2.657,35
111.3,2.649,35
111.5,2.643,36
111.7,2.638,38
111.9,2.635,38
112.1,2.632,40
112.3,2.632,42
112.5,2.63,42
112.7,2.627,41
112.9,2.626,42
113.1,2.625,41
113.3,2.624,41
113.5,2.626,40
113.7,2.628,38
113.9,2.631,39
114.1,2.634,38
114.3,2.637,42
114.5,2.642,44
114.7,2.646,43
114.9,2.652,42
115.1,2.662,41
115.3,2.674,41
115.5,2.693,41
115.7,2.707,44
115.9,2.712,46
116.1,2.715,46
116.3,2.72,43
116.5,2.732,36
117.1,2.955,41
117.3,2.903,33
117.5,2.89,33
117.7,2.889,35
117.9,2.935,47
118.5,3.437,47
118.7,3.445,47
118.9,3.452,47
119.1,3.459,46
119.3,3.468,46
119.5,3.477,46
119.7,3.485,46
119.9,3.491,46
120.1,3.5,46
120.3,3.51,46
120.5,3.519,45
120.7,3.527,45
120.9,3.531,45
121.1,3.512,43
121.3,3.476,40
121.5,3.468,41
121.7,3.469,41
121.9,3.468,41
122.1,3.468,41
122.3,3.469,41
122.5,3.468,41
122.7,3.47,40
122.9,3.47,40
123.1,3.469,41
123.3,3.469,41
123.5,3.472,41
123.7,3.473,41
123.9,3.474,40
124.1,3.473,40
124.3,3.474,40
124.5,3.476,41
124.7,3.476,41
124.9,3.476,41
125.1,3.477,41
125.3,3.476,41
125.5,3.477,41
125.7,3.479,40
125.9,3.481,40
126.1,3.481,41
126.3,3.481,41
126.5,3.483,41
126.7,3.483,40
126.9,3.487,37
127.1,3.492,35
127.3,3.492,35
127.5,3.493,37
127.7,3.493,37
127.9,3.497,34
128.1,3.499,33
128.3,3.496,36
128.5,3.495,38
128.7,3.5,36
128.9,3.5,35
129.1,3.505,36
129.3,3.524,39
129.5,3.504,42
129.9,2.906,53
130.1,2.83,53
130.3,2.798,53
130.5,2.793,53
130.7,2.818,55
131.1,3.445,43
131.3,3.431,44
132.1,2.787,35
132.3,2.794,35
132.5,2.805,34
132.7,2.845,43
132.9,2.87,44
133.1,2.893,44
133.3,2.875,41
133.5,2.855,35
133.7,2.846,32
133.9,2.851,33
134.1,2.861,33
134.3,2.872,33
134.5,2.889,33
134.7,2.924,38
134.9,2.952,40
135.1,2.981,42
135.3,3.044,45
135.7,3.198,47
135.9,3.198,47
136.1,3.19,47
136.3,3.183,47
136.5,3.168,47
136.7,3.106,40
136.9,3.062,34
137.1,3.049,34
137.3,3.047,33
137.5,3.053,33
137.7,3.089,36
137.9,3.101,45
138.1,3.077,44
138.3,3.03,36
138.5,3.001,33
138.7,2.994,33
138.9,3.01,34
139.1,3.044,41
139.3,3.045,46
139.5,3.025,38
139.7,3.008,31
139.9,3.019,40
140.1,3.02,46
140.3,3.01,38
140.5,2.976,30
140.7,2.989,39
140.9,2.988,50
141.1,2.986,52
141.3,2.979,52
141.5,2.971,52
141.7,2.962,46
141.9,2.948,38
142.1,2.933,31
142.3,2.926,32
142.5,2.915,35
142.7,2.86,34
142.9,2.806,33
143.1,2.809,32
143.5,2.895,33
143.7,2.894,33
