azimuth_deg,distance_m,rssi
45.5,0.198,174
45.7,0.198,171
45.9,0.2,171
46.1,0.201,171
46.3,0.204,170
46.5,0.205,170
46.7,0.205,172
46.9,0.206,172
47.1,0.206,172
47.3,0.206,171
47.5,0.206,171
47.7,0.204,173
47.9,0.206,171
48.1,0.207,171
48.3,0.208,169
48.5,0.206,170
48.7,0.204,171
48.9,0.2,172
49.1,0.2,171
49.3,0.202,172
49.5,0.206,170
49.7,0.207,170
49.9,0.208,170
50.1,0.206,171
50.3,0.206,171
50.5,0.205,173
50.7,0.204,173
50.9,0.206,171
51.1,0.207,171
51.3,0.208,171
51.5,0.208,171
51.7,0.208,171
51.9,0.21,171
52.1,0.209,171
52.3,0.209,171
52.5,0.211,169
52.7,0.212,171
52.9,0.213,170
53.1,0.214,170
53.3,0.216,168
53.5,0.218,170
53.7,0.221,168
53.9,0.224,166
54.1,0.225,168
54.3,0.223,169
54.5,0.225,168
54.7,0.222,167
54.9,0.22,169
55.1,0.222,167
55.3,0.221,169
55.5,0.221,170
55.7,0.221,167
55.9,0.221,168
56.1,0.221,170
56.3,0.221,168
56.5,0.221,170
56.7,0.221,168
56.9,0.221,170
57.1,0.221,168
57.3,0.22,170
57.5,0.22,168
57.7,0.222,167
57.9,0.224,166
58.1,0.223,166
58.3,0.218,164
58.5,0.21,163
58.7,0.209,163
58.9,0.209,165
59.1,0.218,164
59.3,0.219,168
59.5,0.221,167
59.7,0.222,168
59.9,0.219,168
60.1,0.218,169
60.3,0.221,168
60.5,0.219,168
60.7,0.22,167
60.9,0.219,168
61.1,0.22,167
61.3,0.219,167
61.5,0.22,167
61.7,0.22,167
61.9,0.221,167
62.1,0.22,169
62.3,0.221,166
62.5,0.222,166
62.7,0.221,165
62.9,0.22,166
63.1,0.221,166
63.3,0.223,164
63.5,0.222,164
63.7,0.22,167
63.9,0.22,165
64.1,0.221,164
64.3,0.22,164
64.5,0.22,164
64.7,0.22,165
64.9,0.219,164
65.1,0.22,164
65.3,0.219,165
65.5,0.22,164
65.7,0.22,165
65.9,0.22,162
66.1,0.215,165
66.3,0.214,164
66.5,0.218,161
