azimuth_deg,distance_m,rssi
45.5,0.146,181
45.7,0.145,179
45.9,0.142,178
46.1,0.141,175
46.3,0.139,172
46.5,0.138,164
46.9,2.917,28
47.1,2.91,29
47.3,2.902,30
47.5,2.89,31
47.7,2.883,31
47.9,2.882,31
48.1,2.89,30
48.3,2.902,30
48.5,2.914,30
48.7,2.925,28
48.9,2.941,27
49.1,2.951,27
49.3,2.962,27
49.5,2.979,27
49.7,2.996,27
49.9,3.011,27
50.1,3.021,27
50.3,3.041,27
50.5,3.053,28
50.7,3.069,28
50.9,3.082,28
51.1,3.102,27
51.3,3.114,28
51.5,3.13,27
51.7,3.148,28
51.9,3.169,29
52.1,3.184,29
52.3,3.202,30
52.5,3.259,35
52.7,3.269,39
52.9,3.266,40
53.1,3.258,41
53.3,3.25,41
53.5,3.245,41
53.7,3.238,41
53.9,3.231,41
54.1,3.223,42
54.3,3.216,42
54.5,3.209,42
54.7,3.204,42
54.9,3.195,43
55.1,3.188,43
55.3,3.183,43
55.5,3.18,43
55.7,3.172,44
55.9,3.167,44
56.3,3.156,44
56.5,3.149,45
56.9,0.123,160
57.1,3.131,46
57.7,3.112,46
57.9,3.108,47
58.3,3.094,48
58.5,3.089,48
58.7,3.082,48
58.9,3.072,47
59.1,3.062,42
59.3,3.058,41
59.5,3.057,45
59.7,3.058,46
59.9,3.055,47
60.1,3.05,47
60.3,0.12,163
60.5,0.108,174
60.7,0.103,180
60.9,0.1,183
61.1,0.105,183
61.3,0.102,187
61.5,0.102,187
61.7,0.104,189
61.9,0.105,188
62.1,0.104,189
62.3,0.102,188
62.5,0.103,190
62.7,0.102,190
62.9,0.101,191
63.1,0.101,190
63.3,0.101,190
63.5,0.101,189
63.7,0.102,188
63.9,0.103,188
64.1,0.104,188
64.3,0.104,187
64.5,0.101,188
64.7,0.098,187
64.9,0.103,185
65.1,0.1,184
65.3,0.096,182
65.5,0.095,177
65.7,0.106,166
65.9,2.912,43
66.1,2.929,38
66.3,3,43
66.5,2.987,49
66.7,2.917,50
66.9,2.908,53
67.1,2.906,50
67.3,2.897,45
67.5,2.883,47
67.7,2.872,52
