azimuth_deg,distance_m,rssi
45.5,3.15,31
45.7,3.166,31
45.9,3.179,31
46.1,3.199,31
46.3,3.216,30
46.5,3.28,37
46.7,3.297,47
46.9,3.292,50
47.1,3.284,50
47.3,3.281,50
47.5,3.274,50
47.7,3.266,51
47.9,3.262,51
48.1,3.252,51
48.3,3.246,51
48.5,3.237,52
48.7,3.231,52
48.9,3.226,51
49.1,3.215,52
49.3,3.211,52
49.5,3.205,52
49.7,3.196,52
49.9,3.185,53
50.1,3.189,53
50.3,3.183,53
50.5,3.18,53
50.7,3.17,53
50.9,3.161,53
51.1,3.153,53
51.3,3.147,53
51.5,3.137,54
51.7,3.131,54
51.9,3.126,54
52.1,3.119,54
52.3,3.118,54
52.5,3.111,55
52.7,3.107,55
52.9,3.104,55
53.1,3.099,55
53.3,3.089,55
53.5,3.082,55
53.7,3.074,56
53.9,3.07,56
54.1,3.068,56
54.3,3.069,52
54.5,3.069,45
54.7,3.064,41
54.9,3.014,41
55.1,2.984,45
55.3,2.983,49
55.5,2.99,45
55.7,2.988,39
55.9,2.981,36
56.1,2.961,41
56.3,2.955,48
56.5,2.956,48
56.7,2.959,42
56.9,2.971,35
57.3,2.911,47
57.5,2.912,53
57.7,2.914,48
57.9,2.924,39
58.1,2.944,38
58.3,2.951,41
58.5,2.947,39
58.7,2.92,37
58.9,2.897,44
59.1,2.898,48
59.3,2.902,39
59.5,2.912,41
59.7,2.931,45
59.9,2.937,41
60.1,2.924,42
60.3,2.908,48
60.5,2.905,46
60.7,2.917,39
60.9,2.972,38
61.1,2.963,46
61.3,2.925,46
61.5,2.893,46
61.7,2.89,48
61.9,2.898,43
62.1,2.892,41
62.3,2.882,43
62.5,2.87,48
62.7,2.867,48
62.9,2.869,40
63.1,2.882,43
63.3,2.888,44
63.5,2.912,38
63.7,2.889,36
63.9,2.875,41
64.1,2.861,50
64.3,2.86,47
64.5,2.86,41
64.7,2.855,43
64.9,2.854,48
65.1,2.848,46
65.3,2.84,37
65.5,2.806,38
65.7,2.798,47
65.9,2.803,51
66.1,2.804,47
66.3,2.844,44
66.7,2.891,50
66.9,2.902,45
67.3,3.048,39
67.5,3.048,39
67.7,3.046,39
67.9,3.045,39
68.1,3.041,40
68.3,3.041,41
68.5,3.034,41
68.9,2.504,45
69.3,2.409,31
69.5,2.404,31
69.7,2.403,31
69.9,2.402,31
70.1,2.402,30
70.5,2.582,28
70.7,2.588,27
70.9,2.587,25
71.5,2.91,37
71.7,2.866,34
71.9,2.71,26
72.1,2.703,27
72.3,2.699,28
72.5,2.712,28
72.7,2.717,28
72.9,2.719,28
73.1,2.731,29
73.3,2.735,29
73.5,2.74,29
73.7,2.738,28
73.9,2.747,28
74.1,2.748,28
74.3,2.747,28
74.5,2.755,27
74.7,2.757,28
74.9,2.757,28
75.1,2.757,28
75.3,2.76,28
75.5,2.759,28
75.7,2.765,28
75.9,2.767,28
76.1,2.768,29
76.3,2.769,28
76.5,2.768,28
76.7,2.771,28
76.9,2.77,27
77.1,2.772,28
77.3,2.773,28
77.5,2.767,28
77.7,2.763,28
77.9,2.761,28
78.1,2.758,28
78.3,2.755,27
78.5,2.755,27
78.7,2.753,27
78.9,2.749,28
79.1,2.746,27
79.3,2.735,27
79.5,2.727,27
79.7,2.723,27
79.9,2.721,27
80.1,2.717,28
80.3,2.711,28
80.5,2.697,27
80.7,2.691,27
80.9,2.682,27
81.1,2.672,27
81.3,2.659,27
81.7,2.333,32
81.9,2.326,33
82.1,2.322,33
82.3,2.323,33
82.5,2.322,33
82.7,2.333,34
82.9,2.423,50
83.3,2.871,64
83.5,2.872,57
83.7,2.811,45
83.9,2.769,38
84.1,2.774,38
84.3,2.781,37
84.5,2.78,37
84.7,2.78,37
84.9,2.78,38
85.1,2.779,38
85.3,2.778,39
85.5,2.779,40
85.7,2.777,41
85.9,2.785,41
86.1,2.786,40
86.3,2.783,41
86.5,2.791,42
86.7,2.791,42
86.9,2.789,42
87.1,2.788,41
87.3,2.787,42
87.5,2.79,42
87.7,2.794,40
87.9,2.794,40
88.1,2.798,40
88.3,2.799,40
88.5,2.802,41
88.7,2.798,42
88.9,2.799,42
89.1,2.804,41
89.3,2.808,41
89.5,2.808,41
89.7,2.81,41
89.9,2.814,39
90.1,2.815,39
90.3,2.818,40
90.5,2.822,39
90.7,2.824,39
90.9,2.823,40
91.1,2.827,41
91.3,2.827,41
91.5,2.828,42
91.7,2.831,43
91.9,2.835,42
92.1,2.839,41
92.3,2.84,41
92.5,2.843,41
92.7,2.848,40
92.9,2.853,40
93.1,2.873,41
93.3,2.882,43
93.5,2.885,44
93.7,2.896,43
93.9,2.901,43
94.1,2.906,43
94.3,2.917,43
94.5,2.926,42
94.7,2.934,42
94.9,2.937,42
95.1,2.942,44
95.3,2.955,49
95.5,2.964,56
95.7,2.968,59
95.9,2.973,59
96.1,2.978,59
96.3,2.981,59
96.5,2.984,59
96.7,2.985,59
96.9,2.99,58
97.1,2.991,59
97.3,2.994,58
97.5,2.997,58
97.7,3.003,58
97.9,3.004,57
98.1,3.009,54
98.3,3.009,51
98.5,3.015,51
98.7,3.019,51
98.9,3.017,53
99.1,3.027,54
99.3,3.027,54
99.5,3.029,55
99.7,3.031,55
99.9,3.037,55
100.1,3.039,55
100.3,3.048,55
100.5,3.051,50
100.7,3.043,41
100.9,3.018,34
101.1,3.006,33
101.3,3.01,33
101.5,3.014,33
101.7,3.02,33
101.9,3.026,32
102.1,3.031,33
102.3,3.031,32
102.5,3.038,32
102.7,3.043,33
102.9,3.046,33
103.1,3.052,33
103.3,3.059,33
103.5,3.056,34
103.9,2.872,33
104.1,2.834,33
104.3,2.81,33
104.5,2.79,33
104.7,2.774,34
104.9,2.759,33
105.1,2.751,34
105.3,2.733,34
105.5,2.719,34
105.7,2.709,34
105.9,2.699,34
106.1,2.688,34
106.3,2.683,33
106.5,2.682,33
106.7,2.68,33
106.9,2.667,34
107.1,2.647,35
107.3,2.646,36
107.5,2.647,37
107.7,2.647,37
107.9,2.648,35
108.1,2.664,34
108.3,2.67,34
108.5,2.674,34
108.7,2.68,34
108.9,2.69,33
109.1,2.704,36
109.3,2.721,37
109.5,2.72,37
109.7,2.718,36
109.9,2.732,36
110.1,2.741,36
110.3,2.783,46
110.9,3.328,49
111.1,3.338,49
111.3,3.351,49
111.5,3.356,49
111.7,3.358,49
111.9,3.371,48
112.1,3.375,48
112.3,3.377,48
112.5,3.39,48
112.7,3.395,48
112.9,3.407,47
113.1,3.416,47
113.3,3.419,47
113.5,3.427,48
113.7,3.441,47
113.9,3.446,47
114.1,3.453,47
114.3,3.459,47
114.5,3.467,46
