azimuth_deg,distance_m,rssi
45.5,0.198,172
45.7,0.198,173
45.9,0.199,173
46.1,0.201,172
46.3,0.204,173
46.5,0.205,170
46.7,0.205,171
46.9,0.206,170
47.1,0.206,170
47.3,0.205,171
47.5,0.207,171
47.7,0.205,171
47.9,0.205,172
48.1,0.206,172
48.3,0.208,170
48.5,0.206,171
48.7,0.203,171
48.9,0.199,172
49.1,0.199,174
49.3,0.2,174
49.5,0.205,171
49.7,0.206,171
49.9,0.206,173
50.1,0.206,172
50.3,0.206,171
50.5,0.204,174
50.7,0.204,174
50.9,0.206,173
51.1,0.208,171
51.3,0.208,172
51.5,0.208,171
51.7,0.207,171
51.9,0.21,170
52.1,0.209,170
52.3,0.208,171
52.5,0.21,170
52.7,0.211,170
52.9,0.213,170
53.1,0.215,169
53.3,0.216,169
53.5,0.219,169
53.7,0.22,170
53.9,0.224,168
54.1,0.225,168
54.3,0.226,167
54.5,0.226,168
54.7,0.224,170
54.9,0.222,169
55.1,0.223,167
55.3,0.221,167
55.5,0.221,170
55.7,0.222,170
55.9,0.221,170
56.1,0.221,169
56.3,0.221,168
56.5,0.222,168
56.7,0.221,168
56.9,0.22,169
57.1,0.22,169
57.3,0.218,169
57.5,0.219,169
57.7,0.221,168
57.9,0.223,167
58.1,0.224,166
58.3,0.219,164
58.5,0.211,166
58.7,0.211,162
58.9,0.209,166
59.1,0.218,167
59.3,0.218,168
59.5,0.22,167
59.7,0.221,169
59.9,0.218,169
60.1,0.218,169
60.3,0.221,167
60.5,0.22,167
60.7,0.22,167
60.9,0.219,167
61.1,0.219,167
61.3,0.22,167
61.5,0.221,167
61.7,0.22,168
61.9,0.22,168
62.1,0.219,168
62.3,0.221,168
62.5,0.222,166
62.7,0.221,165
62.9,0.22,166
63.1,0.221,166
63.3,0.222,166
63.5,0.222,166
63.7,0.221,164
63.9,0.22,166
64.1,0.22,165
64.3,0.219,165
64.5,0.22,165
64.7,0.221,163
64.9,0.219,163
65.1,0.221,163
65.3,0.221,163
65.5,0.22,164
65.7,0.22,163
65.9,0.22,164
66.1,0.216,164
66.3,0.215,165
66.5,0.219,161
66.7,0.216,159
66.9,0.209,158
67.1,0.199,157
67.3,0.192,156
67.5,0.199,154
67.7,0.197,153
67.9,0.209,146
69.9,0.192,151
70.1,0.193,148
70.3,0.192,147
70.5,0.185,154
70.7,0.186,155
70.9,0.179,160
71.1,0.181,156
71.3,0.18,158
71.5,0.179,160
71.7,0.181,160
71.9,0.18,158
72.1,0.179,160
72.3,0.176,160
72.5,0.179,157
72.7,0.181,157
72.9,0.182,155
73.1,0.178,157
73.3,0.177,158
73.5,0.181,155
73.7,0.182,155
73.9,0.179,157
74.1,0.178,158
74.3,0.183,155
74.5,0.186,155
74.7,0.186,155
74.9,0.198,149
75.1,0.189,156
75.3,0.191,153
75.5,0.181,159
75.7,0.176,161
75.9,0.184,156
76.1,0.19,154
76.3,0.185,157
76.5,0.185,156
76.7,0.181,158
76.9,0.19,155
77.1,0.186,157
77.3,0.186,160
77.5,0.185,160
77.7,0.192,160
77.9,0.19,160
78.1,0.191,161
78.3,0.185,162
78.5,0.185,163
78.7,0.187,162
78.9,0.186,162
79.1,0.188,159
79.3,0.19,158
79.5,0.188,159
79.7,0.184,159
79.9,0.183,156
80.1,0.186,156
80.3,0.191,155
80.5,0.186,159
80.7,0.187,155
80.9,0.192,154
81.1,0.191,156
81.3,0.196,150
81.5,0.198,152
81.7,0.197,148
81.9,0.191,153
82.1,0.193,151
82.3,0.201,146
82.5,0.191,147
82.7,0.189,153
82.9,0.188,151
83.1,0.18,158
83.3,0.179,164
83.5,0.18,165
83.7,0.18,166
83.9,0.178,170
84.1,0.176,171
84.3,0.179,171
84.5,0.184,171
84.7,0.183,172
84.9,0.184,173
85.1,0.184,173
85.3,0.183,173
85.5,0.184,173
85.7,0.185,173
85.9,0.184,173
86.1,0.184,173
86.3,0.182,173
86.5,0.184,171
86.7,0.185,172
86.9,0.183,171
87.1,0.178,172
87.3,0.177,170
87.5,0.178,170
87.7,0.18,166
