azimuth_deg,distance_m,rssi
45.5,0.21,165
45.7,0.206,163
45.9,0.199,166
46.1,0.197,164
46.3,0.194,166
46.5,0.193,167
46.7,0.193,164
46.9,0.191,166
47.1,0.19,167
47.3,0.188,166
47.5,0.184,168
47.7,0.185,166
47.9,0.182,166
48.1,0.177,171
48.3,0.18,168
48.5,0.18,168
48.7,0.175,169
48.9,0.175,167
49.1,0.176,166
49.3,0.176,167
49.5,0.176,168
49.7,0.174,169
49.9,0.172,170
50.1,0.174,169
50.3,0.172,170
50.5,0.168,171
50.7,0.164,174
50.9,0.165,175
51.1,0.168,174
51.3,0.169,175
51.5,0.17,176
51.7,0.168,176
51.9,0.166,176
52.1,0.167,176
52.3,0.168,176
52.5,0.168,174
52.7,0.168,176
52.9,0.168,176
53.1,0.168,175
53.3,0.164,176
53.5,0.166,172
53.7,0.164,175
53.9,0.168,172
54.1,0.168,170
54.3,0.165,171
54.5,0.165,166
54.7,0.168,160
54.9,0.168,160
55.1,0.175,159
55.3,0.186,150
55.5,0.178,147
57.9,3.103,7
58.3,3.138,11
58.5,3.159,12
58.7,3.169,14
58.9,3.194,16
59.3,3.293,31
59.5,3.286,35
59.7,3.279,38
59.9,3.271,39
60.1,3.265,39
60.3,3.256,39
60.5,3.25,40
60.7,3.244,40
60.9,3.237,40
61.1,3.228,40
61.3,3.22,41
61.5,3.214,41
61.7,3.208,42
61.9,3.2,42
62.1,3.193,42
62.3,3.188,43
62.5,3.183,43
62.7,3.177,44
62.9,3.17,44
63.1,3.166,45
63.3,3.16,45
63.5,3.152,45
63.7,3.146,46
63.9,3.14,47
64.1,3.136,47
64.3,3.127,47
64.5,3.122,47
64.7,3.117,48
64.9,3.112,48
65.1,3.106,48
65.3,3.1,48
65.5,3.093,49
65.7,3.086,49
65.9,3.078,50
66.1,3.072,45
66.3,3.061,41
66.5,3.061,45
66.7,3.061,48
66.9,3.058,48
67.1,3.055,48
67.3,3.02,45
67.5,2.988,43
67.7,2.984,45
67.9,2.986,42
68.1,2.992,37
68.3,2.987,34
68.5,2.959,38
68.7,2.952,45
68.9,2.953,47
69.1,2.957,46
69.3,2.967,40
69.5,2.976,34
69.7,2.949,33
69.9,2.913,39
70.1,2.908,48
70.3,2.909,50
70.5,2.918,41
70.9,2.937,37
71.1,2.908,42
71.3,2.898,46
71.7,0.114,172
71.9,0.113,177
72.1,0.112,182
72.3,0.116,181
72.5,0.114,185
72.7,0.117,184
72.9,0.12,185
73.1,0.12,186
73.3,0.118,186
73.5,0.119,185
73.7,0.117,186
73.9,0.117,185
74.1,0.116,186
74.3,0.117,186
74.5,0.118,187
74.7,0.119,186
74.9,0.116,186
75.1,0.115,182
75.3,0.116,182
75.5,0.115,180
75.7,0.113,180
75.9,0.116,174
76.3,2.872,46
76.5,2.864,52
76.7,2.867,50
76.9,2.875,41
77.1,2.871,38
77.3,2.851,43
77.5,2.847,49
77.7,2.842,46
77.9,2.824,38
78.1,2.799,41
78.3,2.796,49
78.5,2.801,46
78.7,2.818,41
78.9,2.833,38
79.1,2.883,39
79.3,2.885,46
79.5,2.89,50
79.7,2.906,45
80.1,3.05,40
80.3,3.049,40
80.5,3.045,40
81.3,2.364,32
81.5,2.362,32
81.7,2.358,32
81.9,2.357,32
82.1,2.36,32
82.3,2.358,31
82.5,2.332,30
82.7,2.309,30
82.9,2.302,31
83.1,2.3,31
83.3,2.299,31
83.5,2.3,31
83.7,2.302,31
83.9,2.303,31
84.1,2.302,31
84.3,2.302,31
84.5,2.3,31
84.7,2.296,31
84.9,2.294,32
85.1,2.291,32
85.3,2.287,32
85.5,2.284,32
85.7,2.28,32
85.9,2.278,32
86.1,2.275,32
86.3,2.273,32
86.5,2.271,33
86.7,2.269,33
86.9,2.268,33
87.1,2.266,33
87.3,2.263,33
87.5,2.261,33
87.7,2.26,33
87.9,2.259,33
88.1,2.259,33
88.3,2.258,33
88.5,2.257,33
88.7,2.257,33
88.9,2.257,33
89.1,2.256,33
89.3,2.255,33
89.5,2.255,33
89.7,2.252,33
89.9,2.253,33
90.1,2.255,33
90.3,2.255,33
90.5,2.255,33
90.7,2.254,33
90.9,2.254,33
91.1,2.254,33
91.3,2.253,33
91.5,2.251,33
91.7,2.249,33
91.9,2.245,33
92.1,2.243,33
92.3,2.241,33
92.5,2.24,33
92.7,2.241,33
92.9,2.241,33
93.1,2.242,33
93.3,2.247,32
93.5,2.261,30
93.7,2.294,30
93.9,2.3,31
94.1,2.299,31
94.3,2.295,32
94.5,2.291,32
94.7,2.29,32
94.9,2.29,32
