azimuth_deg,distance_m,rssi
45.5,0.151,181
45.7,0.15,179
45.9,0.148,177
46.1,0.147,176
46.3,0.148,170
46.5,0.148,166
46.7,0.143,153
46.9,2.922,30
47.1,2.915,30
47.3,2.903,31
47.5,2.893,32
47.7,2.885,32
47.9,2.885,32
48.1,2.892,31
48.3,2.906,30
48.5,2.917,30
48.7,2.929,29
48.9,2.941,28
49.1,2.954,28
49.3,2.967,28
49.5,2.983,28
49.7,2.997,28
49.9,3.014,28
50.1,3.027,28
50.3,3.044,28
50.5,3.057,28
50.7,3.072,28
50.9,3.09,28
51.1,3.104,28
51.3,3.116,28
51.5,3.136,27
51.7,3.152,29
51.9,3.17,29
52.1,3.183,30
52.3,3.204,31
52.5,3.258,35
52.7,3.272,40
52.9,3.268,41
53.1,3.261,41
53.3,3.255,41
53.5,3.247,41
53.9,3.234,42
54.1,3.227,42
54.3,3.22,43
54.5,3.214,43
54.9,3.197,43
55.1,3.19,43
55.3,3.186,44
55.5,3.179,44
55.9,3.168,45
56.1,3.163,45
56.3,3.159,45
56.9,3.138,46
57.1,3.134,46
57.3,3.124,47
57.5,3.119,47
57.7,3.114,47
57.9,3.108,48
58.1,3.101,48
58.3,3.096,48
58.5,3.089,49
58.7,3.082,49
58.9,3.076,47
59.3,0.102,178
59.5,0.105,180
59.7,0.105,184
59.9,0.11,182
60.1,0.107,185
60.3,0.107,186
60.5,0.11,186
60.7,0.111,188
60.9,0.109,188
61.1,0.107,189
61.3,0.106,189
61.5,0.106,189
61.7,0.107,189
61.9,0.105,189
62.1,0.104,189
62.3,0.106,188
62.5,0.108,188
62.7,0.108,188
62.9,0.107,186
63.1,0.105,186
63.3,0.103,187
63.5,0.106,184
63.7,0.102,182
63.9,0.101,180
64.1,0.099,175
64.5,2.895,47
64.7,2.903,38
64.9,2.922,35
65.1,2.962,38
65.3,2.979,43
65.5,2.931,47
65.7,2.912,48
65.9,2.912,44
66.1,2.927,38
66.3,3.003,44
66.5,2.978,49
66.7,2.921,50
66.9,2.911,53
67.1,2.907,49
67.3,2.899,44
67.5,2.885,47
67.7,2.872,51
67.9,2.871,51
68.1,2.878,44
68.3,2.884,40
68.5,2.892,43
68.7,2.9,41
68.9,2.918,39
69.1,2.891,40
69.3,2.873,44
69.5,2.865,49
69.7,2.867,45
69.9,2.874,38
70.1,2.869,38
70.3,2.852,43
70.5,2.847,46
70.7,2.842,40
70.9,2.821,35
71.1,2.799,43
71.3,2.796,48
71.5,2.797,46
71.7,2.809,41
71.9,2.85,37
72.1,2.881,44
72.3,2.882,54
72.5,2.887,50
72.7,2.929,44
72.9,3.046,41
73.1,3.048,42
73.3,3.044,43
73.5,3.036,43
74.3,2.357,33
74.5,2.353,33
74.7,2.352,33
74.9,2.352,33
75.1,2.353,33
75.3,2.348,32
75.5,2.321,31
75.7,2.304,31
75.9,2.299,31
76.1,2.296,31
76.3,2.296,31
76.5,2.3,32
76.7,2.304,31
76.9,2.302,31
77.1,2.301,32
77.3,2.299,32
77.5,2.296,31
77.7,2.292,31
77.9,2.289,32
78.1,2.287,32
78.3,2.286,31
78.5,2.285,32
78.7,2.28,32
78.9,2.277,32
79.1,2.274,32
79.3,2.271,33
79.5,2.269,32
79.7,2.267,32
79.9,2.266,33
80.1,2.263,33
80.3,2.26,33
80.5,2.257,33
80.7,2.256,33
80.9,2.255,34
81.1,2.256,33
81.3,2.254,33
81.5,2.253,33
81.7,2.252,33
81.9,2.25,33
82.1,2.249,34
82.3,2.249,34
82.5,2.247,34
82.7,2.249,34
82.9,2.249,33
83.1,2.247,33
83.3,2.248,34
83.5,2.248,33
83.7,2.246,34
83.9,2.248,34
84.1,2.247,34
84.3,2.247,34
84.5,2.249,34
84.7,2.249,34
84.9,2.246,34
85.1,2.245,33
85.3,2.242,33
85.5,2.239,33
85.7,2.237,33
85.9,2.235,34
86.1,2.236,33
86.3,2.242,33
86.5,2.259,30
86.7,2.29,30
86.9,2.295,31
87.1,2.294,31
87.3,2.291,32
87.5,2.288,32
87.7,2.285,33
87.9,2.285,33
88.1,2.289,33
88.3,2.323,38
88.9,2.873,60
89.3,2.725,41
89.7,2.418,42
89.9,2.414,43
90.1,2.379,40
90.3,2.32,40
90.5,2.288,37
90.7,2.285,39
90.9,2.292,39
91.1,2.342,45
91.5,2.747,44
91.7,2.757,44
91.9,2.762,44
92.1,2.763,45
92.3,2.767,44
92.5,2.769,45
92.7,2.771,45
92.9,2.772,45
93.1,2.774,45
93.3,2.775,44
93.5,2.776,44
93.7,2.777,43
93.9,2.781,43
94.1,2.782,43
94.3,2.784,43
94.5,2.786,43
94.7,2.786,42
94.9,2.792,42
95.1,2.794,42
95.3,2.796,41
95.5,2.798,42
95.7,2.798,42
95.9,2.8,42
96.1,2.803,42
96.3,2.806,42
96.5,2.81,41
96.7,2.813,41
96.9,2.814,40
97.1,2.817,40
97.3,2.821,40
97.5,2.824,41
97.7,2.825,40
97.9,2.827,39
98.1,2.832,41
98.3,2.842,43
98.5,2.841,42
98.7,2.838,41
98.9,2.838,40
99.1,2.84,41
99.3,2.844,42
99.5,2.857,44
99.7,2.874,44
99.9,2.875,38
100.1,2.868,34
100.3,2.868,33
100.5,2.869,34
100.7,2.874,34
100.9,2.899,43
101.1,2.963,52
101.3,2.987,58
101.5,2.993,58
101.7,2.997,58
101.9,3,58
102.1,3,58
102.3,3,58
102.9,2.62,40
103.1,2.552,34
103.3,2.531,38
103.5,2.492,38
103.7,2.468,37
103.9,2.464,38
104.1,2.472,37
104.3,2.515,39
104.7,2.973,37
104.9,3.006,45
105.1,2.999,42
105.3,2.955,36
105.5,2.948,34
105.7,2.945,34
106.1,2.672,35
106.3,2.593,34
106.5,2.589,37
106.7,2.616,47
107.3,3.074,36
107.5,3.057,31
107.7,3.088,41
107.9,3.097,43
108.1,3.107,35
108.3,3.1,30
108.7,2.857,36
108.9,2.813,35
109.1,2.796,35
109.3,2.777,35
109.5,2.761,35
109.7,2.746,36
109.9,2.73,35
110.1,2.713,36
110.3,2.704,35
110.5,2.691,35
110.7,2.68,35
110.9,2.669,35
111.1,2.658,35
111.3,2.648,35
111.5,2.642,36
111.7,2.638,39
111.9,2.636,38
112.1,2.632,40
112.3,2.631,42
112.5,2.631,42
112.7,2.626,41
112.9,2.625,42
113.1,2.625,42
113.3,2.624,41
113.5,2.626,40
113.7,2.628,38
113.9,2.631,39
114.1,2.634,39
114.3,2.637,42
114.5,2.641,44
114.7,2.645,43
114.9,2.653,42
115.1,2.662,42
115.3,2.675,41
115.5,2.698,41
115.7,2.71,44
115.9,2.713,46
116.1,2.715,46
116.3,2.72,42
116.5,2.734,35
117.1,2.955,40
117.3,2.902,33
117.5,2.891,33
117.7,2.891,35
117.9,2.94,47
118.5,3.436,47
118.7,3.445,47
118.9,3.452,47
119.1,3.46,46
119.3,3.468,46
119.5,3.476,46
119.7,3.484,46
119.9,3.494,46
120.1,3.501,46
120.3,3.509,45
120.5,3.52,46
120.7,3.527,45
120.9,3.531,45
121.1,3.51,42
121.3,3.474,40
121.5,3.468,42
121.7,3.468,41
121.9,3.468,41
122.1,3.468,42
122.3,3.469,41
122.5,3.469,41
122.7,3.471,41
122.9,3.471,40
123.1,3.469,41
123.3,3.469,41
123.5,3.47,41
123.7,3.472,41
123.9,3.472,40
124.1,3.474,39
124.3,3.474,40
124.5,3.473,41
124.7,3.475,41
124.9,3.476,41
125.1,3.475,41
125.3,3.477,41
125.5,3.478,41
125.7,3.478,41
125.9,3.48,41
126.1,3.48,41
126.3,3.482,41
126.5,3.484,41
126.7,3.484,40
126.9,3.487,37
127.1,3.491,35
127.3,3.491,35
127.5,3.491,37
127.7,3.493,37
127.9,3.498,34
128.1,3.501,33
128.3,3.496,36
128.5,3.495,38
128.7,3.499,35
128.9,3.501,36
129.1,3.506,36
129.3,3.525,39
129.9,2.902,53
130.1,2.826,53
130.3,2.799,52
130.5,2.788,53
130.7,2.822,55
131.1,3.445,43
131.3,3.432,44
132.1,2.786,35
132.3,2.794,35
132.5,2.804,35
132.7,2.842,42
132.9,2.869,44
133.1,2.891,44
133.3,2.874,40
133.5,2.854,34
133.7,2.848,33
133.9,2.852,33
134.1,2.861,33
134.3,2.873,33
134.5,2.893,34
134.7,2.926,38
134.9,2.955,40
135.1,2.984,42
135.3,3.043,46
135.7,3.199,47
135.9,3.199,47
136.1,3.192,47
136.3,3.182,48
136.5,3.167,47
136.7,3.112,40
136.9,3.062,34
137.1,3.05,34
