azimuth_deg,distance_m,rssi
45.5,0.426,122
45.7,0.422,123
45.9,0.42,125
46.1,0.421,125
46.3,0.425,122
46.5,0.427,123
46.7,0.428,123
46.9,0.428,123
47.1,0.429,123
47.3,0.429,123
47.5,0.428,123
47.7,0.429,123
47.9,0.431,123
48.1,0.433,122
48.3,0.431,122
48.5,0.43,124
48.7,0.431,122
48.9,0.432,124
49.1,0.435,122
49.3,0.434,121
49.5,0.433,124
49.7,0.437,122
49.9,0.436,121
50.1,0.434,121
50.3,0.434,121
50.5,0.437,117
50.7,0.433,120
50.9,0.433,119
51.1,0.435,119
51.3,0.435,119
51.5,0.435,118
51.7,0.439,115
51.9,0.448,112
52.1,0.459,110
52.3,0.447,113
52.5,0.455,111
52.7,0.452,111
52.9,0.46,107
53.1,0.461,107
53.3,0.461,105
53.5,0.476,101
53.7,0.485,100
53.9,0.483,102
54.1,0.508,98
54.3,0.519,98
54.5,0.521,104
54.7,0.524,107
54.9,0.521,109
55.1,0.523,111
55.3,0.528,116
55.5,0.531,122
55.7,0.533,124
55.9,0.534,124
56.1,0.535,122
56.3,0.539,119
56.5,0.534,122
56.7,0.534,118
56.9,0.533,117
57.1,0.532,116
57.3,0.535,113
57.5,0.547,113
57.7,0.563,113
57.9,0.572,112
58.1,0.577,109
58.3,0.58,108
58.5,0.59,105
58.7,0.59,104
58.9,0.593,100
59.1,0.598,97
59.3,0.609,92
59.5,0.616,87
59.7,0.619,83
59.9,0.633,68
60.1,3.617,36
60.3,3.624,35
60.5,3.634,35
60.7,3.652,36
60.9,3.646,37
61.1,3.647,38
61.3,3.655,39
61.5,3.688,39
61.7,3.715,39
61.9,3.74,38
62.1,3.756,38
62.3,3.765,37
62.5,3.769,36
62.7,3.794,37
62.9,3.856,41
63.1,3.911,43
63.5,3.771,42
63.7,3.783,45
64.1,3.983,43
64.3,3.993,43
64.5,4.009,43
64.7,4.026,43
64.9,4.037,43
65.1,4.052,43
65.3,4.072,43
65.5,4.079,42
65.7,4.095,42
65.9,4.11,42
66.1,4.128,43
66.3,4.139,44
66.5,4.148,45
67.7,3.409,35
67.9,3.408,34
68.1,3.405,32
68.3,3.391,32
68.5,3.379,32
68.7,3.363,33
68.9,3.35,33
69.1,3.337,33
69.3,3.325,33
69.5,3.314,33
69.7,3.308,33
69.9,3.29,33
70.1,3.283,33
70.3,3.273,33
70.5,3.261,33
70.7,3.25,33
70.9,3.24,33
71.1,3.231,33
71.3,3.225,33
71.5,3.218,33
71.7,3.208,33
71.9,3.197,33
72.1,3.186,33
72.3,3.178,33
72.5,3.168,33
72.7,3.158,33
72.9,3.149,33
73.1,3.141,32
73.3,3.133,32
73.5,3.125,31
73.7,3.121,31
73.9,3.116,31
74.1,3.103,31
74.3,3.096,30
74.5,3.089,30
74.7,3.081,30
74.9,3.072,29
75.1,3.062,28
75.3,3.054,28
75.5,3.056,26
75.7,3.056,25
75.9,3.032,23
76.1,3.039,22
76.3,3.031,20
76.5,3.005,18
76.7,3.007,19
76.9,2.998,20
77.1,2.991,19
77.3,2.989,20
