azimuth_deg,distance_m,rssi
45.5,0.15,180
45.7,0.151,177
45.9,0.147,177
46.1,0.149,174
46.3,0.146,173
46.5,0.146,160
46.9,2.922,29
47.1,2.911,30
47.3,2.9,31
47.5,2.891,31
47.7,2.886,32
47.9,2.884,31
48.1,2.89,30
48.3,2.902,30
48.5,2.915,30
48.7,2.925,29
48.9,2.936,27
49.1,2.952,27
49.3,2.967,28
49.5,2.979,28
49.7,2.997,27
49.9,3.01,28
50.1,3.021,27
50.3,3.042,27
50.5,3.056,28
50.7,3.071,28
50.9,3.084,28
51.1,3.101,28
51.3,3.115,27
51.5,3.132,27
51.7,3.149,28
51.9,3.165,29
52.1,3.184,29
52.3,3.203,31
52.5,3.258,35
52.7,3.272,40
52.9,3.265,40
53.1,3.259,40
53.3,3.251,41
53.5,3.247,41
53.7,3.24,41
53.9,3.232,42
54.1,3.226,42
54.5,3.209,42
54.7,3.206,42
54.9,3.198,43
55.1,3.19,43
55.3,3.184,43
55.5,3.181,43
55.7,0.117,160
56.1,3.16,45
56.3,3.158,45
56.5,0.109,165
56.7,3.144,46
56.9,3.137,46
57.1,3.131,46
57.5,3.116,47
57.7,3.113,47
57.9,3.109,48
58.1,3.102,48
58.3,3.096,48
58.5,3.087,48
58.7,3.083,49
59.1,0.11,167
59.3,0.102,178
59.5,0.106,179
59.7,0.108,183
59.9,0.107,184
60.1,0.104,187
60.3,0.105,188
60.5,0.108,187
60.7,0.107,188
60.9,0.107,188
61.1,0.106,188
61.3,0.104,189
61.5,0.105,189
61.7,0.104,189
61.9,0.104,189
62.1,0.105,188
62.3,0.105,188
62.5,0.106,189
62.7,0.106,188
62.9,0.106,187
63.1,0.103,188
63.3,0.102,187
63.5,0.103,185
63.7,0.1,182
63.9,0.102,179
64.1,0.099,176
64.5,2.892,47
64.7,2.9,39
64.9,2.92,35
65.1,2.958,38
65.3,2.988,43
65.5,2.934,47
65.7,2.912,47
65.9,2.91,45
66.1,2.922,39
66.3,2.995,43
66.5,2.989,48
66.7,2.92,49
66.9,2.909,53
67.1,2.905,50
67.3,2.897,45
67.5,2.884,46
67.7,2.873,51
67.9,2.873,51
68.1,2.879,44
68.3,2.885,39
68.5,2.892,42
68.7,2.902,41
68.9,2.921,38
69.1,2.89,40
69.3,2.874,44
69.5,2.864,48
69.7,2.867,46
69.9,2.872,39
70.1,2.867,40
70.5,2.843,40
70.7,2.823,36
70.9,2.805,43
71.1,2.806,47
71.3,2.811,45
71.5,2.825,39
71.7,2.886,42
71.9,2.894,50
72.1,2.902,49
72.3,2.931,43
72.7,3.049,41
72.9,3.047,41
73.1,3.047,41
73.3,3.043,43
73.5,3.037,43
74.3,2.355,32
74.5,2.35,33
74.7,2.349,33
74.9,2.349,33
75.1,2.351,33
75.3,2.348,31
75.5,2.322,31
75.7,2.301,31
75.9,2.297,31
76.1,2.294,31
76.3,2.294,31
76.5,2.299,32
76.7,2.301,32
76.9,2.301,31
77.1,2.299,31
77.3,2.295,31
77.5,2.293,31
77.7,2.291,31
77.9,2.289,31
78.1,2.284,32
78.3,2.284,32
78.5,2.282,31
78.7,2.278,32
78.9,2.273,32
79.1,2.273,32
79.3,2.269,32
79.5,2.268,32
79.7,2.265,32
79.9,2.262,33
80.1,2.26,33
80.3,2.258,33
80.5,2.256,33
80.7,2.254,33
80.9,2.251,33
81.1,2.252,33
81.3,2.25,33
81.5,2.249,33
81.7,2.249,33
81.9,2.248,33
82.1,2.249,33
82.3,2.246,33
82.5,2.246,34
82.7,2.244,34
82.9,2.245,33
83.1,2.246,33
83.3,2.246,33
83.5,2.245,33
