azimuth_deg,distance_m,rssi
45.5,0.147,181
45.7,0.146,179
45.9,0.142,179
46.1,0.142,176
46.3,0.143,175
46.5,0.141,169
46.9,2.917,28
47.1,2.911,29
47.3,2.904,30
47.5,2.893,30
47.7,2.885,31
47.9,2.884,31
48.1,2.892,30
48.3,2.907,30
48.5,2.915,30
48.7,2.927,28
48.9,2.942,27
49.1,2.954,27
49.3,2.97,28
49.5,2.98,27
49.7,2.997,27
49.9,3.014,27
50.1,3.024,27
50.3,3.043,27
50.5,3.054,28
50.7,3.072,28
50.9,3.084,29
51.1,3.101,28
51.3,3.118,28
51.5,3.132,27
51.7,3.152,28
51.9,3.169,29
52.1,3.185,30
52.3,3.203,30
52.5,3.263,35
52.7,3.271,40
52.9,3.268,40
53.1,3.261,41
53.3,3.254,40
53.5,3.248,41
53.7,3.24,41
53.9,3.231,42
54.1,3.226,42
54.3,3.218,42
54.5,3.213,42
54.7,3.206,42
54.9,3.197,43
55.5,3.181,43
55.7,3.177,43
56.1,3.164,44
56.5,3.151,45
56.9,3.138,46
57.3,3.126,46
57.5,3.119,47
57.7,3.113,47
57.9,3.108,48
58.1,3.103,48
58.3,3.097,48
58.5,3.092,48
58.9,3.076,47
59.1,3.065,42
59.3,3.06,41
59.5,3.06,45
59.7,3.059,46
59.9,3.055,47
60.1,3.05,47
60.3,0.106,170
60.5,0.101,177
60.7,0.103,180
60.9,0.101,184
61.1,0.104,182
61.3,0.103,185
61.5,0.103,187
61.7,0.107,186
61.9,0.106,186
62.1,0.106,187
62.3,0.105,187
62.5,0.102,191
62.7,0.101,189
62.9,0.102,190
63.1,0.101,189
63.3,0.1,190
63.5,0.102,189
63.7,0.103,187
63.9,0.103,189
64.1,0.106,186
64.3,0.105,186
64.5,0.098,188
64.7,0.1,187
64.9,0.102,185
65.1,0.098,184
65.3,0.1,179
65.5,0.098,176
65.7,0.103,164
65.9,2.914,44
66.1,2.929,39
66.3,3,43
66.5,2.983,48
66.7,2.922,49
66.9,2.908,54
67.1,2.906,50
67.3,2.898,45
67.5,2.885,47
67.7,2.874,51
67.9,2.871,52
68.1,2.876,46
68.3,2.884,41
68.5,2.89,43
68.7,2.901,42
68.9,2.909,39
69.1,2.885,41
69.3,2.867,45
69.5,2.863,50
69.7,2.864,46
69.9,2.871,39
70.1,2.857,41
70.3,2.846,46
70.5,2.842,45
70.7,2.837,38
70.9,2.807,36
71.1,2.796,45
71.3,2.796,47
71.5,2.804,43
71.7,2.825,38
72.1,2.883,54
72.3,2.884,49
72.7,3.04,39
72.9,3.049,39
73.1,3.049,41
73.3,3.047,41
73.5,3.039,41
74.3,2.357,33
74.5,2.352,33
74.7,2.354,33
74.9,2.354,33
75.1,2.353,33
75.3,2.348,31
75.5,2.321,31
75.7,2.302,31
75.9,2.298,31
76.1,2.296,31
76.3,2.296,31
76.5,2.3,32
76.7,2.302,32
76.9,2.303,31
77.1,2.3,31
77.3,2.297,31
77.5,2.294,32
77.7,2.291,32
77.9,2.289,32
78.1,2.287,32
78.3,2.285,32
78.5,2.284,32
78.7,2.28,32
78.9,2.277,32
79.1,2.273,32
79.3,2.271,33
79.5,2.269,32
79.7,2.267,33
79.9,2.264,33
80.1,2.261,33
80.3,2.258,33
80.5,2.258,33
80.7,2.255,33
80.9,2.254,33
81.1,2.252,33
81.3,2.253,33
81.5,2.251,33
81.7,2.25,33
81.9,2.249,33
82.1,2.249,33
82.3,2.248,33
82.5,2.247,33
82.7,2.248,34
82.9,2.246,34
83.1,2.247,34
83.3,2.248,33
83.5,2.247,34
83.7,2.247,33
83.9,2.247,34
84.1,2.247,34
84.3,2.246,33
84.5,2.245,34
84.7,2.248,34
84.9,2.247,33
85.1,2.245,33
85.3,2.243,33
85.5,2.238,33
85.7,2.236,33
85.9,2.235,33
86.1,2.237,33
86.3,2.242,32
86.5,2.257,29
86.7,2.289,31
86.9,2.294,31
87.1,2.292,31
87.3,2.289,32
87.5,2.288,32
87.7,2.285,32
87.9,2.284,33
88.1,2.285,33
88.3,2.321,37
88.9,2.873,60
89.3,2.727,40
89.7,2.418,42
89.9,2.414,43
90.1,2.374,40
90.3,2.322,40
90.5,2.287,37
90.7,2.284,38
90.9,2.295,39
91.1,2.341,44
91.5,2.749,44
91.7,2.758,44
91.9,2.761,44
92.1,2.762,45
92.3,2.764,44
92.5,2.768,44
92.7,2.77,45
92.9,2.769,45
93.1,2.774,44
93.3,2.775,44
93.5,2.776,44
93.7,2.777,43
93.9,2.778,43
94.1,2.781,43
94.3,2.783,43
94.5,2.786,42
94.7,2.79,42
94.9,2.791,42
95.1,2.794,42
95.3,2.796,41
95.5,2.797,42
95.7,2.798,42
95.9,2.801,42
96.1,2.805,42
96.3,2.804,42
96.5,2.809,41
96.7,2.813,41
96.9,2.815,40
97.1,2.816,39
97.3,2.821,40
97.5,2.822,41
97.7,2.823,39
97.9,2.827,39
98.1,2.832,40
98.3,2.84,43
98.5,2.843,42
98.7,2.839,41
98.9,2.839,40
99.1,2.841,41
99.3,2.844,41
99.5,2.858,44
99.7,2.874,44
99.9,2.875,38
100.1,2.867,34
100.3,2.868,33
100.5,2.87,34
100.7,2.874,34
100.9,2.901,42
101.3,2.989,57
101.5,2.994,57
101.7,2.997,57
101.9,2.998,58
102.1,3,58
102.3,3,58
102.5,2.963,57
102.9,2.63,40
103.1,2.553,34
103.3,2.538,37
103.5,2.492,38
103.7,2.468,37
103.9,2.461,37
104.1,2.473,37
104.3,2.519,39
104.7,2.971,37
104.9,3.008,45
105.1,2.999,42
105.3,2.953,37
105.5,2.947,34
105.7,2.946,34
106.1,2.667,35
106.3,2.595,34
106.5,2.591,37
106.7,2.617,46
107.3,3.075,36
107.5,3.049,30
107.7,3.088,40
107.9,3.099,42
108.1,3.106,36
108.3,3.104,29
108.7,2.858,36
108.9,2.813,35
109.1,2.794,35
109.3,2.776,35
109.5,2.758,35
109.7,2.745,36
109.9,2.73,35
110.1,2.714,35
110.3,2.702,35
110.5,2.691,35
110.7,2.679,35
110.9,2.669,35
111.1,2.656,35
111.3,2.65,35
111.5,2.643,36
111.7,2.638,39
111.9,2.636,38
112.1,2.632,40
112.3,2.631,42
112.5,2.63,42
112.7,2.628,41
112.9,2.625,42
113.1,2.624,42
113.3,2.624,41
113.5,2.626,40
113.7,2.627,38
113.9,2.629,39
114.1,2.632,39
114.3,2.638,42
114.5,2.642,44
114.7,2.646,43
114.9,2.653,42
115.1,2.662,42
115.3,2.672,41
115.5,2.696,42
115.7,2.709,44
115.9,2.714,46
116.1,2.716,46
116.3,2.718,42
116.5,2.73,36
117.1,2.956,40
117.3,2.902,33
117.5,2.887,33
117.7,2.887,36
117.9,2.939,47
118.5,3.436,47
118.7,3.444,47
118.9,3.451,47
119.1,3.457,46
119.3,3.467,46
119.5,3.477,46
119.7,3.486,46
119.9,3.493,46
