azimuth_deg,distance_m,rssi
45.5,0.15,178
45.7,0.149,179
45.9,0.147,177
46.1,0.147,173
46.3,0.146,173
46.5,0.146,163
46.7,2.931,29
46.9,2.923,30
47.1,2.914,30
47.3,2.902,31
47.5,2.894,31
47.7,2.886,32
47.9,2.884,31
48.1,2.891,31
48.3,2.906,31
48.5,2.917,30
48.7,2.929,29
48.9,2.94,27
49.1,2.953,28
49.3,2.968,27
49.5,2.981,28
49.7,2.996,28
49.9,3.012,28
50.1,3.025,27
50.3,3.043,28
50.5,3.057,28
50.7,3.07,29
50.9,3.085,28
51.1,3.102,28
51.3,3.116,28
51.5,3.132,28
51.7,3.149,28
51.9,3.168,29
52.1,3.181,30
52.3,3.2,30
52.5,3.26,34
52.7,3.273,40
52.9,3.268,40
53.1,3.26,41
53.3,3.252,41
53.5,3.246,41
53.7,3.239,42
53.9,3.231,42
54.1,3.225,42
54.3,3.219,42
54.7,3.205,43
55.1,3.192,43
55.3,3.187,43
55.7,3.176,44
56.3,3.156,45
56.5,3.148,45
56.7,3.142,46
56.9,3.137,46
57.1,3.131,47
57.3,3.124,47
57.5,3.119,47
57.9,3.108,48
58.1,3.101,49
58.3,3.097,49
58.5,3.09,49
58.7,3.084,49
58.9,3.075,47
59.1,0.111,168
59.3,0.106,177
59.5,0.104,180
59.7,0.105,182
59.9,0.11,183
60.1,0.106,184
60.3,0.107,186
60.5,0.108,186
60.7,0.108,188
60.9,0.109,187
61.1,0.108,188
61.3,0.107,189
61.5,0.105,189
61.7,0.105,191
61.9,0.106,188
62.1,0.105,189
62.3,0.106,188
62.5,0.107,186
62.7,0.108,188
62.9,0.107,186
63.1,0.106,184
63.3,0.105,184
63.5,0.106,184
63.7,0.104,182
63.9,0.102,176
64.1,0.1,176
64.5,2.894,45
64.7,2.901,37
64.9,2.925,36
65.3,2.971,46
65.5,2.933,48
65.7,2.914,48
65.9,2.911,43
66.1,2.936,38
66.3,3,45
66.5,2.985,48
66.7,2.921,49
66.9,2.91,53
67.1,2.906,49
67.3,2.898,45
67.5,2.885,46
67.7,2.875,51
67.9,2.873,51
68.1,2.883,44
68.3,2.883,40
68.5,2.89,42
68.7,2.899,41
68.9,2.912,38
69.1,2.884,39
69.3,2.87,43
69.5,2.865,48
69.7,2.866,47
69.9,2.87,40
70.1,2.858,40
70.3,2.849,44
70.5,2.842,45
70.7,2.831,38
70.9,2.804,36
71.1,2.8,45
71.3,2.802,48
71.5,2.814,45
71.7,2.832,39
71.9,2.887,39
72.1,2.891,48
72.3,2.896,51
72.5,2.908,46
72.9,3.047,41
73.1,3.046,42
73.3,3.042,43
73.5,3.037,43
74.3,2.357,33
74.5,2.353,33
74.7,2.351,33
74.9,2.352,33
75.1,2.353,33
75.3,2.349,31
75.5,2.32,31
75.7,2.303,31
75.9,2.298,31
76.1,2.296,31
76.3,2.296,31
76.5,2.299,31
76.7,2.303,32
76.9,2.302,31
77.1,2.303,32
77.3,2.301,31
77.5,2.296,31
77.7,2.293,32
77.9,2.288,31
78.1,2.286,32
78.3,2.285,31
78.5,2.283,32
