azimuth_deg,distance_m,rssi
45.5,0.149,180
45.7,0.149,179
45.9,0.147,178
46.1,0.15,176
46.3,0.149,170
46.5,0.142,166
46.9,2.923,29
47.1,2.914,31
47.3,2.903,31
47.5,2.893,31
47.7,2.886,32
47.9,2.883,31
48.1,2.893,31
48.3,2.903,30
48.5,2.918,30
48.7,2.929,29
48.9,2.94,28
49.1,2.953,28
49.3,2.968,27
49.5,2.984,28
49.7,2.996,28
49.9,3.014,28
50.1,3.026,27
50.3,3.04,28
50.5,3.055,28
50.7,3.072,28
50.9,3.088,29
51.1,3.102,28
51.3,3.114,28
51.5,3.133,27
51.7,3.151,28
51.9,3.17,29
52.1,3.183,30
52.3,3.207,31
52.5,3.259,35
52.7,3.27,40
52.9,3.266,41
53.1,3.259,41
53.3,3.252,41
53.5,3.247,41
53.7,3.24,42
53.9,3.23,43
54.1,3.225,42
54.3,3.218,42
54.5,3.212,43
54.7,3.206,43
54.9,3.199,43
55.1,3.192,43
55.3,3.186,44
55.5,3.18,44
55.7,3.174,45
55.9,3.168,45
56.1,3.161,45
56.3,3.156,45
56.5,3.148,46
56.7,3.143,46
56.9,3.136,46
57.1,3.131,46
57.3,3.125,47
57.5,3.118,47
57.7,3.114,47
57.9,3.109,48
58.1,3.1,48
58.3,3.094,48
58.5,3.089,49
58.7,3.084,49
58.9,3.078,47
59.1,0.111,167
59.3,0.102,178
59.5,0.104,181
59.7,0.108,181
59.9,0.109,183
60.1,0.106,187
60.3,0.107,185
60.5,0.108,187
60.7,0.109,187
60.9,0.108,188
61.1,0.107,186
61.3,0.106,190
61.5,0.106,190
61.7,0.104,190
61.9,0.104,190
62.1,0.104,188
62.3,0.105,189
62.5,0.109,189
62.7,0.109,187
62.9,0.109,186
63.1,0.103,187
63.3,0.103,187
63.5,0.106,184
63.7,0.104,182
63.9,0.1,179
64.1,0.096,175
64.3,0.087,167
64.5,2.894,47
64.7,2.9,39
64.9,2.92,36
65.1,2.959,39
65.3,2.973,43
65.5,2.926,47
65.7,2.912,48
65.9,2.913,44
66.1,2.931,39
66.3,3.004,44
66.5,2.977,48
66.7,2.921,50
66.9,2.909,53
67.1,2.906,49
67.3,2.897,45
67.5,2.884,47
67.7,2.873,51
67.9,2.873,51
68.1,2.878,44
68.3,2.885,40
68.5,2.891,42
68.7,2.903,41
68.9,2.909,39
69.1,2.883,40
69.3,2.866,44
69.5,2.863,49
69.7,2.866,45
69.9,2.872,37
70.1,2.859,38
70.3,2.846,43
70.5,2.842,46
70.7,2.836,40
70.9,2.812,34
71.1,2.796,39
71.3,2.796,46
71.5,2.8,47
71.7,2.812,42
71.9,2.846,37
72.1,2.876,42
72.3,2.876,53
72.5,2.885,51
72.7,2.917,45
73.1,3.047,42
73.3,3.042,43
73.5,3.037,43
74.3,2.355,33
74.5,2.351,33
74.7,2.351,33
74.9,2.35,33
75.1,2.352,32
75.3,2.349,32
75.5,2.32,31
75.7,2.303,31
75.9,2.298,31
76.1,2.296,31
76.3,2.297,31
76.5,2.299,32
76.7,2.303,32
76.9,2.303,31
77.1,2.301,31
77.3,2.297,31
77.5,2.295,31
77.7,2.293,32
77.9,2.29,32
78.1,2.287,32
78.3,2.284,32
78.5,2.283,32
78.7,2.281,32
78.9,2.277,32
79.1,2.274,32
79.3,2.271,32
79.5,2.268,32
79.7,2.267,32
79.9,2.265,33
80.1,2.263,33
80.3,2.261,33
80.5,2.257,33
80.7,2.257,33
80.9,2.255,33
81.1,2.254,33
81.3,2.251,33
81.5,2.252,33
81.7,2.251,33
81.9,2.251,33
82.1,2.249,34
82.3,2.248,34
82.5,2.246,34
82.7,2.246,34
82.9,2.245,34
83.1,2.246,34
83.3,2.246,34
83.5,2.247,33
83.7,2.246,34
83.9,2.245,34
84.1,2.245,34
84.3,2.246,34
84.5,2.247,34
84.7,2.248,33
84.9,2.247,34
85.1,2.245,33
85.3,2.243,33
85.5,2.238,33
85.7,2.236,33
85.9,2.235,33
86.1,2.237,33
86.3,2.242,32
86.5,2.259,30
86.7,2.291,30
86.9,2.295,31
87.1,2.294,31
87.3,2.292,32
87.5,2.288,32
87.7,2.286,32
87.9,2.285,33
88.1,2.289,32
88.3,2.325,37
88.9,2.874,60
89.3,2.727,41
89.7,2.418,42
89.9,2.413,43
90.1,2.377,40
90.3,2.318,40
90.5,2.287,37
90.7,2.284,38
90.9,2.294,39
91.1,2.341,45
91.5,2.751,44
91.7,2.758,44
91.9,2.761,44
92.1,2.764,44
92.3,2.766,44
92.5,2.768,45
92.7,2.77,45
92.9,2.772,45
93.1,2.774,44
93.3,2.776,44
93.5,2.778,44
93.7,2.779,43
93.9,2.781,43
94.1,2.782,43
94.3,2.783,43
94.5,2.786,43
94.7,2.788,42
94.9,2.79,42
95.1,2.792,42
95.3,2.795,41
95.5,2.797,42
95.7,2.798,42
95.9,2.8,42
96.1,2.803,42
96.3,2.803,42
96.5,2.806,41
96.7,2.811,41
96.9,2.813,40
97.1,2.816,40
97.3,2.821,40
97.5,2.823,41
97.7,2.823,40
97.9,2.825,39
98.1,2.829,41
98.3,2.839,43
98.5,2.842,42
98.7,2.838,41
98.9,2.837,40
99.1,2.838,41
99.3,2.843,41
99.5,2.856,44
99.7,2.873,44
99.9,2.872,38
100.1,2.864,34
100.3,2.867,33
100.5,2.868,33
100.7,2.873,35
100.9,2.905,42
101.1,2.955,51
101.3,2.987,57
101.5,2.991,57
101.7,2.995,58
101.9,2.999,58
102.1,3,58
102.3,3.001,58
102.9,2.624,40
103.1,2.551,34
103.3,2.536,37
103.5,2.493,38
103.7,2.468,37
103.9,2.46,38
104.1,2.469,38
104.3,2.513,38
104.7,2.971,37
104.9,3.008,45
105.1,2.999,43
105.3,2.953,37
105.5,2.947,34
105.7,2.945,34
106.1,2.672,35
106.3,2.593,34
106.5,2.589,37
106.7,2.618,46
107.3,3.075,37
107.5,3.052,30
107.7,3.09,40
107.9,3.097,42
108.1,3.108,35
108.3,3.105,30
108.7,2.858,35
108.9,2.812,35
109.1,2.794,35
109.3,2.777,36
109.5,2.759,36
109.7,2.744,35
109.9,2.729,35
110.1,2.714,35
110.3,2.7,36
110.5,2.691,35
110.7,2.678,35
110.9,2.668,35
111.1,2.657,35
111.3,2.649,35
111.5,2.64,36
111.7,2.636,38
111.9,2.634,38
112.1,2.632,40
112.3,2.631,42
112.5,2.629,42
112.7,2.627,41
112.9,2.625,42
113.1,2.625,42
113.3,2.625,41
113.5,2.625,40
113.7,2.627,38
113.9,2.629,39
114.1,2.633,39
114.3,2.636,42
114.5,2.641,44
114.7,2.645,43
114.9,2.651,42
115.1,2.66,42
115.3,2.675,41
115.5,2.694,42
115.7,2.708,44
115.9,2.713,46
116.1,2.715,46
116.3,2.718,42
116.5,2.73,35
117.1,2.952,40
117.3,2.903,33
117.5,2.89,33
117.7,2.89,35
117.9,2.935,47
118.5,3.435,47
118.7,3.441,47
118.9,3.451,47
119.1,3.458,46
119.3,3.468,47
119.5,3.475,46
119.7,3.484,47
119.9,3.492,46
120.1,3.5,46
120.3,3.509,46
120.5,3.517,46
120.7,3.527,45
120.9,3.532,46
121.1,3.495,43
121.3,3.475,40
121.5,3.467,41
121.7,3.468,41
121.9,3.468,41
122.1,3.469,41
122.3,3.469,41
122.5,3.47,41
122.7,3.47,40
122.9,3.47,41
123.1,3.469,41
123.3,3.47,41
123.5,3.471,41
123.7,3.473,41
123.9,3.474,40
124.1,3.474,40
124.3,3.474,40
124.5,3.474,41
124.7,3.475,41
124.9,3.475,41
125.1,3.476,41
125.3,3.477,41
125.5,3.477,41
125.7,3.478,40
125.9,3.479,41
126.1,3.481,41
126.3,3.482,41
126.5,3.482,41
126.7,3.483,40
126.9,3.489,37
127.1,3.491,35
127.3,3.492,35
127.5,3.492,37
127.7,3.493,37
127.9,3.498,34
128.1,3.501,33
128.3,3.497,36
128.5,3.497,38
128.7,3.5,35
128.9,3.501,36
129.1,3.505,36
129.3,3.522,39
129.5,3.507,42
129.9,2.89,53
130.1,2.832,53
130.3,2.792,53
130.5,2.789,53
130.7,2.816,55
131.1,3.441,44
131.3,3.432,44
131.9,2.787,35
132.1,2.787,35
132.3,2.795,34
132.5,2.804,35
132.7,2.839,43
132.9,2.871,44
133.1,2.889,44
133.3,2.869,40
133.5,2.851,34
133.7,2.849,33
133.9,2.853,33
134.1,2.861,33
134.3,2.872,33
134.5,2.891,34
134.7,2.921,38
134.9,2.952,40
135.1,2.986,43
135.7,3.197,47
135.9,3.197,47
136.1,3.191,48
136.3,3.181,47
136.5,3.167,47
136.7,3.103,41
136.9,3.06,34
137.1,3.049,34
137.3,3.046,33
137.5,3.05,33
137.7,3.088,37
137.9,3.101,45
138.1,3.074,44
138.3,3.029,36
138.5,3,33
138.7,2.996,34
138.9,3.003,34
139.1,3.045,42
139.3,3.045,46
139.5,3.024,38
139.7,3.008,32
139.9,3.02,40
140.1,3.021,47
140.3,3.008,37
140.5,2.978,30
140.7,2.989,39
140.9,2.991,50
141.1,2.987,52
141.3,2.977,52
141.5,2.97,52
141.7,2.962,46
141.9,2.95,37
142.1,2.931,31
142.3,2.928,32
142.5,2.915,35
142.7,2.867,34
142.9,2.807,33
143.1,2.814,32
143.5,2.895,34
143.7,2.893,34
143.9,2.887,34
144.3,2.765,36
144.5,2.742,35
144.7,2.741,35
144.9,2.776,36
145.1,2.824,33
145.3,2.799,31
145.5,2.766,29
145.7,2.807,33
145.9,2.813,34
146.1,2.794,33
146.3,2.716,32
146.5,2.71,33
146.7,2.707,34
146.9,2.726,33
147.1,2.782,37
147.3,2.782,45
147.5,2.76,41
147.7,2.735,33
147.9,2.761,42
148.1,2.769,54
148.3,2.762,50
148.5,2.74,37
148.7,2.727,34
148.9,2.742,46
149.1,2.745,58
149.3,2.741,59
149.5,2.735,60
149.7,2.732,60
149.9,2.724,56
150.1,2.717,46
150.3,2.705,36
150.5,2.691,31
150.7,2.7,38
150.9,2.7,44
151.1,2.693,41
151.3,2.668,33
151.5,2.655,33
151.7,2.665,41
151.9,2.674,50
152.1,2.677,59
152.3,2.677,62
152.5,2.672,62
152.7,2.666,63
152.9,2.661,61
153.1,2.646,47
153.5,2.168,45
153.7,2.152,54
153.9,2.158,61
154.1,2.158,54
154.3,2.147,46
154.5,2.134,42
154.7,2.16,51
155.3,2.159,45
155.5,2.137,42
155.7,2.139,37
155.9,2.172,33
156.3,2.291,31
156.5,2.316,31
156.7,2.352,32
156.9,2.421,38
157.3,2.519,47
157.5,2.51,45
157.7,2.503,44
157.9,2.499,44
158.1,2.498,43
