azimuth_deg,distance_m,rssi
45.5,0.15,181
45.7,0.151,177
45.9,0.148,178
46.1,0.149,177
46.3,0.149,171
46.5,0.149,163
46.9,2.923,30
47.1,2.912,31
47.3,2.902,31
47.5,2.893,31
47.7,2.887,31
47.9,2.884,31
48.1,2.891,31
48.3,2.904,30
48.5,2.918,30
48.7,2.927,29
48.9,2.94,27
49.1,2.953,28
49.3,2.967,28
49.5,2.983,28
49.7,2.999,28
49.9,3.012,28
50.1,3.025,28
50.3,3.045,28
50.5,3.058,28
50.7,3.073,28
50.9,3.086,28
51.1,3.1,28
51.3,3.116,28
51.5,3.131,28
51.7,3.15,28
51.9,3.168,29
52.1,3.182,30
52.3,3.2,30
52.5,3.262,34
52.7,3.273,40
52.9,3.268,41
53.1,3.262,41
53.3,3.253,41
53.5,3.247,41
53.7,3.241,41
53.9,3.231,42
54.1,3.224,42
54.3,3.218,43
54.5,3.212,42
54.9,3.2,43
55.1,3.194,43
55.3,3.189,43
55.7,3.174,44
55.9,3.168,44
56.1,3.162,45
56.3,3.156,45
56.5,3.151,46
56.7,3.146,46
56.9,3.138,46
57.1,3.133,46
57.3,3.126,47
57.5,3.121,47
57.7,3.115,47
57.9,3.11,48
58.1,3.1,48
58.3,3.095,49
58.5,3.089,49
58.7,3.083,49
58.9,3.077,47
59.1,0.103,169
59.3,0.105,175
59.5,0.105,180
59.7,0.107,183
59.9,0.108,184
60.1,0.106,186
60.3,0.108,184
60.5,0.11,185
60.7,0.11,185
60.9,0.109,187
61.1,0.106,188
61.3,0.104,189
61.5,0.105,188
61.7,0.106,187
61.9,0.104,189
62.1,0.105,187
62.3,0.107,188
62.5,0.106,188
62.7,0.108,186
62.9,0.106,186
63.1,0.103,186
63.3,0.103,186
63.5,0.107,183
63.7,0.101,184
63.9,0.103,178
64.1,0.094,175
64.5,2.895,48
64.7,2.898,41
64.9,2.915,36
65.1,2.957,38
65.3,2.979,42
65.5,2.935,46
65.7,2.915,48
65.9,2.915,45
66.1,2.929,38
66.3,3,43
66.5,2.984,48
66.7,2.922,49
66.9,2.91,53
67.1,2.907,49
67.3,2.898,45
67.5,2.886,47
67.7,2.874,51
67.9,2.873,51
68.1,2.879,45
68.3,2.884,40
68.5,2.893,42
68.7,2.903,41
68.9,2.914,38
69.1,2.889,39
69.3,2.869,44
69.5,2.864,49
69.9,2.875,39
70.1,2.865,39
70.5,2.844,46
70.7,2.836,39
70.9,2.811,36
71.1,2.799,44
71.3,2.799,48
71.5,2.806,45
71.7,2.828,39
71.9,2.884,41
72.1,2.889,52
72.3,2.894,52
72.5,2.919,45
72.9,3.049,42
73.1,3.046,42
73.3,3.044,43
73.5,3.039,43
74.3,2.356,33
74.5,2.353,33
74.7,2.353,33
74.9,2.352,33
75.1,2.352,33
75.3,2.35,31
75.5,2.319,30
75.7,2.304,31
75.9,2.3,31
76.1,2.297,31
76.3,2.297,31
76.5,2.3,32
76.7,2.302,32
76.9,2.304,31
77.1,2.301,32
77.3,2.297,32
77.5,2.294,31
77.7,2.292,31
77.9,2.29,32
78.1,2.287,31
78.3,2.286,32
78.5,2.285,32
