azimuth_deg,distance_m,rssi
45.5,0.147,181
45.7,0.148,180
45.9,0.144,179
46.1,0.144,177
46.3,0.145,174
46.5,0.143,168
46.9,2.919,28
47.1,2.915,29
47.3,2.904,30
47.5,2.894,31
47.7,2.885,31
47.9,2.885,31
48.1,2.892,30
48.3,2.904,30
48.5,2.919,30
48.7,2.929,28
48.9,2.939,27
49.1,2.955,27
49.3,2.97,27
49.5,2.984,27
49.7,2.995,27
49.9,3.014,27
50.1,3.026,27
50.3,3.042,28
50.5,3.057,28
50.7,3.071,28
50.9,3.089,28
51.1,3.104,28
51.3,3.116,28
51.5,3.135,27
51.7,3.149,28
51.9,3.17,29
52.1,3.18,29
52.3,3.208,31
52.5,3.263,35
52.7,3.272,40
52.9,3.269,40
53.1,3.262,40
53.3,3.253,41
53.5,3.248,41
53.7,3.242,41
53.9,3.234,42
54.1,3.227,42
54.3,3.219,42
54.5,3.213,42
54.7,3.206,42
54.9,3.199,43
55.1,3.191,43
55.3,3.186,43
55.5,3.181,43
55.7,3.174,44
56.1,3.163,44
56.5,3.151,45
56.9,3.138,45
57.1,3.133,46
57.3,3.127,46
57.5,0.108,160
57.7,3.116,47
57.9,3.112,47
58.1,3.105,47
58.3,3.097,47
58.5,3.09,48
58.7,3.086,49
58.9,3.074,47
59.1,3.065,42
59.3,3.059,41
59.5,3.06,45
59.7,3.061,47
59.9,3.057,47
60.1,3.052,47
60.3,0.111,166
60.5,0.095,176
60.7,0.103,177
60.9,0.101,183
61.1,0.107,183
61.3,0.105,186
61.5,0.104,185
61.7,0.105,188
61.9,0.107,188
62.1,0.105,188
62.3,0.104,187
62.5,0.103,189
62.7,0.103,189
62.9,0.103,189
63.1,0.104,188
63.3,0.104,190
63.5,0.105,189
63.7,0.105,189
63.9,0.105,188
64.1,0.106,188
64.3,0.104,189
64.5,0.102,187
64.7,0.102,186
64.9,0.103,184
65.1,0.102,181
65.3,0.098,181
65.5,0.098,176
65.9,2.915,43
66.1,2.929,38
66.3,3,44
66.5,2.984,49
66.7,2.92,50
66.9,2.91,53
67.1,2.908,49
67.3,2.898,46
67.5,2.886,47
67.7,2.875,52
67.9,2.872,52
68.1,2.877,46
68.3,2.884,41
68.5,2.892,44
68.7,2.902,43
68.9,2.906,39
69.1,2.885,40
69.3,2.869,46
69.5,2.866,50
69.7,2.869,46
69.9,2.871,40
70.1,2.858,42
70.3,2.852,46
70.5,2.846,43
70.7,2.825,37
70.9,2.803,39
71.1,2.803,46
71.3,2.806,46
71.5,2.811,42
71.7,2.83,37
71.9,2.887,42
72.1,2.892,49
72.3,2.896,48
72.5,2.917,43
72.9,3.05,40
73.1,3.049,40
73.3,3.045,41
73.5,3.036,42
74.3,2.358,32
74.5,2.354,33
74.7,2.353,33
74.9,2.354,33
75.1,2.355,33
75.3,2.353,32
75.5,2.321,31
75.7,2.304,31
75.9,2.299,31
76.1,2.296,32
76.3,2.298,31
76.5,2.301,31
76.7,2.302,31
76.9,2.302,31
77.1,2.301,32
77.3,2.299,31
77.5,2.297,32
77.7,2.295,31
77.9,2.29,31
78.1,2.287,31
78.3,2.286,31
78.5,2.286,32
78.7,2.281,32
78.9,2.277,32
79.1,2.277,32
79.3,2.274,32
79.5,2.27,33
79.7,2.267,32
79.9,2.265,33
80.1,2.262,33
80.3,2.26,33
80.5,2.259,33
80.7,2.257,33
80.9,2.254,33
81.1,2.255,33
81.3,2.254,33
81.5,2.253,33
81.7,2.251,33
81.9,2.251,33
82.1,2.251,34
82.3,2.249,34
82.5,2.248,33
82.7,2.248,34
82.9,2.248,33
83.1,2.248,33
83.3,2.248,33
83.5,2.246,33
83.7,2.246,34
83.9,2.247,34
84.1,2.247,34
84.3,2.247,34
84.5,2.249,34
84.7,2.249,33
84.9,2.247,34
85.1,2.246,33
85.3,2.242,33
85.5,2.239,33
85.7,2.238,33
85.9,2.237,33
86.1,2.237,34
86.3,2.243,32
86.5,2.258,30
86.7,2.291,31
86.9,2.295,31
87.1,2.294,31
87.3,2.29,32
87.5,2.288,32
87.7,2.285,33
87.9,2.283,33
88.1,2.289,32
88.3,2.324,38
88.9,2.873,60
89.3,2.726,41
89.7,2.419,42
89.9,2.414,43
90.1,2.373,40
90.3,2.321,39
90.5,2.287,37
90.7,2.286,38
90.9,2.295,39
91.1,2.336,45
91.5,2.75,44
91.7,2.758,44
91.9,2.762,44
92.1,2.767,44
92.3,2.769,44
92.5,2.77,45
92.7,2.771,45
92.9,2.774,45
93.1,2.775,44
93.3,2.776,44
93.5,2.777,44
93.7,2.778,43
93.9,2.782,43
94.1,2.783,43
94.3,2.783,43
94.5,2.785,43
94.7,2.788,43
94.9,2.792,42
95.1,2.794,41
95.3,2.796,41
95.5,2.798,42
95.7,2.799,42
95.9,2.8,42
96.1,2.803,42
96.3,2.804,42
96.5,2.808,41
96.7,2.813,41
96.9,2.814,40
97.1,2.818,39
97.3,2.822,40
97.5,2.824,41
97.7,2.823,39
97.9,2.826,39
98.1,2.833,41
98.3,2.841,43
98.5,2.843,42
98.7,2.841,40
98.9,2.84,40
99.1,2.842,41
99.3,2.844,41
99.5,2.856,45
99.7,2.875,44
99.9,2.874,38
100.1,2.869,34
100.3,2.87,33
100.5,2.871,33
100.7,2.873,34
100.9,2.903,42
101.1,2.959,52
101.3,2.989,57
101.5,2.992,57
101.7,2.994,58
101.9,2.998,57
102.1,3.001,58
102.3,3.001,58
102.9,2.628,39
103.1,2.556,34
103.3,2.536,37
103.5,2.492,38
103.7,2.466,38
103.9,2.461,38
104.1,2.474,38
104.3,2.521,39
104.7,2.972,38
104.9,3.008,45
105.1,3,42
105.3,2.953,36
105.5,2.948,34
105.7,2.947,34
106.1,2.665,35
106.3,2.595,34
106.5,2.589,37
106.7,2.619,47
107.3,3.074,36
107.5,3.05,30
107.7,3.091,40
107.9,3.098,43
108.1,3.109,35
108.3,3.104,30
108.7,2.861,36
108.9,2.811,35
109.1,2.787,36
109.3,2.778,36
109.5,2.761,36
109.7,2.746,35
109.9,2.728,36
110.1,2.716,35
110.3,2.702,36
110.5,2.689,35
110.7,2.679,35
110.9,2.668,35
111.1,2.658,35
111.3,2.648,36
111.5,2.64,36
111.7,2.638,39
111.9,2.637,38
112.1,2.634,40
112.3,2.631,42
112.5,2.631,42
112.7,2.63,41
112.9,2.627,42
113.1,2.626,41
113.3,2.625,41
113.5,2.626,40
113.7,2.628,38
113.9,2.63,39
114.1,2.634,39
114.3,2.637,42
114.5,2.644,44
114.7,2.649,43
114.9,2.654,42
115.1,2.663,41
115.3,2.674,41
115.5,2.697,42
115.7,2.71,44
115.9,2.713,46
116.1,2.715,46
116.3,2.72,43
116.5,2.733,35
117.1,2.959,40
117.3,2.902,33
117.5,2.891,33
117.7,2.89,36
117.9,2.936,47
118.3,3.422,47
118.5,3.438,47
118.7,3.446,47
118.9,3.453,47
119.1,3.46,46
119.3,3.468,46
119.5,3.477,46
119.7,3.485,46
119.9,3.494,46
120.1,3.502,46
120.3,3.51,45
120.5,3.519,46
120.7,3.529,45
120.9,3.534,46
121.1,3.512,42
121.3,3.478,40
121.5,3.469,42
121.7,3.47,41
121.9,3.469,41
122.1,3.47,41
122.3,3.47,41
122.5,3.47,40
122.7,3.471,40
122.9,3.471,40
123.1,3.472,41
123.3,3.472,41
123.5,3.472,41
123.7,3.471,41
123.9,3.475,40
124.1,3.475,40
124.3,3.476,40
124.5,3.476,41
124.7,3.475,41
124.9,3.476,41
125.1,3.477,41
125.3,3.477,41
125.5,3.477,41
125.7,3.48,41
125.9,3.481,41
126.1,3.482,40
126.3,3.483,41
126.5,3.484,40
126.7,3.485,39
126.9,3.487,37
127.1,3.493,35
127.3,3.493,35
127.5,3.492,37
127.7,3.492,37
127.9,3.498,34
