azimuth_deg,distance_m,rssi
45.5,0.21,164
45.7,0.206,162
45.9,0.205,164
46.1,0.199,165
46.3,0.197,165
46.5,0.195,167
46.7,0.195,165
46.9,0.19,169
47.1,0.188,169
47.3,0.188,165
47.5,0.184,167
47.7,0.185,166
47.9,0.186,166
48.1,0.183,166
48.3,0.179,169
48.5,0.179,166
48.7,0.178,167
48.9,0.176,167
49.1,0.178,167
49.3,0.176,166
49.5,0.175,168
49.7,0.174,169
49.9,0.179,168
50.1,0.177,170
50.3,0.174,170
50.5,0.17,171
50.7,0.166,172
50.9,0.164,176
51.1,0.167,174
51.3,0.169,175
51.5,0.17,175
51.7,0.17,175
51.9,0.17,177
52.1,0.17,177
52.3,0.169,176
52.5,0.168,177
52.7,0.168,176
52.9,0.17,176
53.1,0.169,176
53.3,0.168,173
53.5,0.167,173
53.7,0.167,173
53.9,0.17,171
54.1,0.17,171
54.3,0.169,166
54.5,0.163,167
54.7,0.167,162
54.9,0.171,159
55.1,0.179,153
55.3,0.18,151
55.5,0.177,150
55.7,0.18,147
58.1,3.114,3
58.3,3.139,10
58.5,3.161,11
58.7,3.17,10
58.9,3.189,17
59.1,3.246,21
59.3,3.294,31
59.5,3.289,35
59.7,3.281,38
59.9,3.274,39
60.1,3.266,39
60.3,3.26,39
60.5,3.252,40
60.7,3.245,39
60.9,3.237,40
61.1,3.23,40
61.3,3.223,41
61.5,3.216,41
61.7,3.209,42
61.9,3.202,42
62.1,3.193,42
62.3,3.187,43
62.5,3.184,43
62.7,3.179,44
62.9,3.171,44
63.1,3.166,45
63.3,3.162,45
63.5,3.155,46
63.7,3.147,46
63.9,3.142,47
64.1,3.137,47
64.3,3.13,47
64.5,3.122,47
64.7,3.118,48
64.9,3.115,48
65.1,3.108,48
65.3,3.099,48
65.5,3.094,49
65.7,3.088,50
65.9,3.081,50
66.1,3.07,44
66.3,3.062,41
66.5,3.062,46
66.7,3.063,47
66.9,3.06,48
67.1,3.056,48
67.3,3.019,45
67.5,2.988,43
67.7,2.982,45
67.9,2.986,42
68.1,2.991,37
68.3,2.983,34
68.5,2.956,39
68.7,2.951,45
68.9,2.953,47
69.1,2.958,45
69.3,2.971,39
69.5,2.979,34
69.7,2.941,33
69.9,2.911,40
70.1,2.909,49
70.3,2.911,49
70.5,2.919,40
70.9,2.931,38
71.1,2.903,42
71.3,2.9,46
71.7,0.115,172
71.9,0.115,177
72.1,0.113,181
72.3,0.119,179
72.5,0.118,183
72.7,0.118,184
72.9,0.12,183
73.1,0.121,186
73.3,0.121,185
73.5,0.12,186
73.7,0.118,187
73.9,0.117,185
74.1,0.118,185
74.3,0.118,186
74.5,0.118,186
74.7,0.12,184
74.9,0.118,184
75.1,0.114,185
75.3,0.116,183
75.5,0.117,181
75.7,0.115,176
75.9,0.113,172
