azimuth_deg,distance_m,rssi
45.5,0.146,182
45.7,0.147,178
45.9,0.144,179
46.1,0.146,174
46.3,0.144,172
46.5,0.156,163
46.9,2.917,28
47.1,2.91,29
47.3,2.903,30
47.5,2.892,30
47.7,2.882,31
47.9,2.883,31
48.1,2.891,30
48.3,2.905,30
48.5,2.916,30
48.7,2.926,28
48.9,2.943,27
49.1,2.955,27
49.3,2.966,27
49.5,2.983,28
49.7,2.996,28
49.9,3.01,28
50.1,3.025,27
50.3,3.041,27
50.5,3.054,28
50.7,3.07,28
50.9,3.085,28
51.1,3.097,28
51.3,3.117,28
51.5,3.133,28
51.7,3.147,28
51.9,3.168,29
52.1,3.182,30
52.3,3.206,31
52.5,3.261,35
52.7,3.269,39
52.9,3.266,40
53.1,3.261,41
53.3,3.252,41
53.5,3.244,41
53.7,3.236,41
53.9,3.231,41
54.1,3.226,42
54.3,3.217,42
54.5,3.21,42
54.7,3.205,43
54.9,3.194,43
55.1,3.19,43
55.3,3.184,43
55.7,3.171,44
55.9,3.166,44
56.1,3.162,44
56.3,0.092,167
56.5,3.15,45
56.7,3.142,45
56.9,3.136,46
57.1,3.13,46
57.3,3.123,46
57.5,3.115,47
57.7,3.111,46
57.9,3.107,47
58.1,3.102,47
58.3,3.095,48
58.5,3.088,48
58.7,3.083,48
58.9,3.073,47
59.1,3.063,42
59.3,3.056,41
59.5,3.057,45
59.7,3.058,46
59.9,3.056,46
60.1,3.046,46
60.3,0.104,169
60.5,0.098,177
60.7,0.1,179
60.9,0.099,183
61.1,0.102,185
61.3,0.101,187
61.5,0.102,187
61.7,0.104,188
61.9,0.106,188
62.1,0.105,188
62.3,0.103,189
62.5,0.102,188
62.7,0.101,191
62.9,0.102,190
63.1,0.102,188
63.3,0.101,188
63.5,0.102,191
63.7,0.102,189
63.9,0.103,188
64.1,0.104,188
64.3,0.104,188
64.5,0.101,188
64.7,0.099,186
64.9,0.102,185
65.1,0.102,183
65.3,0.098,180
65.5,0.093,176
65.9,2.912,43
66.1,2.927,38
66.3,2.998,43
66.5,2.982,48
66.7,2.92,50
66.9,2.908,53
67.1,2.905,49
67.3,2.897,46
67.5,2.883,47
67.7,2.871,52
67.9,2.869,52
68.1,2.875,46
68.3,2.882,41
68.5,2.891,43
68.7,2.9,42
68.9,2.907,39
69.1,2.882,41
69.3,2.868,46
69.5,2.862,50
69.7,2.863,46
69.9,2.868,40
70.1,2.856,43
70.3,2.845,46
70.5,2.841,40
70.7,2.818,36
70.9,2.803,44
71.1,2.8,47
71.3,2.802,44
71.7,2.878,42
71.9,2.886,54
72.1,2.891,49
72.3,2.926,42
72.7,3.049,40
72.9,3.049,40
73.1,3.048,40
73.3,3.046,41
73.5,3.038,41
74.3,2.355,32
74.5,2.351,33
74.7,2.352,33
74.9,2.351,33
75.1,2.352,32
75.3,2.347,31
75.5,2.319,31
75.7,2.302,31
75.9,2.297,31
76.1,2.295,31
76.3,2.295,31
76.5,2.299,32
76.7,2.3,32
76.9,2.301,32
77.1,2.3,32
77.3,2.296,31
77.5,2.295,31
77.7,2.293,32
77.9,2.289,31
78.1,2.286,32
78.3,2.284,31
78.5,2.283,31
78.7,2.281,32
78.9,2.276,32
79.1,2.273,32
79.3,2.271,32
79.5,2.268,32
79.7,2.266,32
79.9,2.265,33
80.1,2.262,33
80.3,2.258,33
80.5,2.256,33
80.7,2.255,33
80.9,2.253,33
81.1,2.252,33
81.3,2.251,33
81.5,2.251,33
81.7,2.25,33
81.9,2.25,33
82.1,2.249,33
82.3,2.247,34
82.5,2.246,34
82.7,2.247,34
82.9,2.247,33
83.1,2.247,33
