azimuth_deg,distance_m,rssi
45.5,0.175,177
45.7,0.199,173
45.9,0.222,169
46.1,0.252,161
46.3,0.281,155
46.5,0.297,153
46.7,0.305,151
46.9,0.308,150
47.1,0.31,147
47.3,0.309,148
47.5,0.308,149
47.7,0.307,149
47.9,0.305,149
48.1,0.302,150
48.3,0.302,151
48.5,0.303,149
48.7,0.305,149
48.9,0.304,149
49.1,0.3,149
49.3,0.296,149
49.5,0.282,152
49.7,0.267,155
49.9,0.259,158
50.1,0.257,159
50.3,0.254,161
50.5,0.253,160
50.7,0.252,161
50.9,0.25,163
51.1,0.251,162
51.3,0.251,163
51.5,0.251,163
51.7,0.251,163
51.9,0.252,162
52.1,0.253,161
52.3,0.256,159
52.5,0.255,162
52.7,0.257,161
52.9,0.259,161
53.1,0.263,159
53.3,0.266,158
53.5,0.27,158
53.7,0.273,157
53.9,0.274,157
54.1,0.274,157
54.3,0.277,156
54.5,0.276,158
54.7,0.275,156
54.9,0.274,158
55.1,0.276,156
55.3,0.277,156
55.5,0.274,155
55.7,0.276,156
55.9,0.277,154
56.1,0.278,155
56.3,0.275,153
56.5,0.266,153
56.7,0.254,153
57.1,0.176,160
57.3,0.19,153
57.5,0.195,150
57.7,0.182,157
57.9,0.194,149
58.1,0.178,156
58.5,3.089,46
59.3,0.108,176
59.5,0.106,181
59.7,0.108,181
59.9,0.108,185
60.1,0.106,186
60.3,0.106,186
60.5,0.108,188
60.7,0.109,187
60.9,0.107,187
61.1,0.106,188
61.3,0.105,189
61.5,0.105,189
61.7,0.105,189
61.9,0.104,190
62.1,0.105,189
62.3,0.105,190
62.5,0.105,189
62.7,0.106,188
62.9,0.106,187
63.1,0.101,187
63.3,0.101,187
63.5,0.107,181
63.7,0.101,182
63.9,0.099,179
64.1,0.097,175
64.5,2.892,46
64.7,2.898,38
64.9,2.922,36
65.1,2.959,38
65.3,2.961,43
65.5,2.922,47
65.7,2.91,48
65.9,2.911,42
66.1,2.943,40
66.3,3.001,45
66.5,2.967,48
66.7,2.918,50
66.9,2.906,53
67.1,2.904,49
67.3,2.895,45
67.5,2.883,47
67.7,2.873,51
67.9,2.873,50
68.1,2.877,45
68.3,2.883,40
68.5,2.891,42
68.7,2.9,41
68.9,2.905,38
69.1,2.883,39
69.3,2.868,44
69.5,2.863,48
69.7,2.868,45
69.9,2.869,40
70.1,2.855,42
70.5,2.839,39
70.7,2.815,36
70.9,2.805,44
71.1,2.804,47
71.3,2.809,44
71.5,2.831,39
71.7,2.888,42
71.9,2.894,53
72.1,2.899,52
72.3,2.932,44
72.7,3.051,41
72.9,3.05,41
73.1,3.047,42
73.3,3.043,43
73.5,3.036,43
74.3,2.356,32
74.5,2.352,33
74.7,2.351,33
74.9,2.351,33
75.1,2.353,32
75.3,2.349,31
75.5,2.32,31
75.7,2.304,31
75.9,2.3,31
76.1,2.296,31
76.3,2.296,31
76.5,2.3,32
76.7,2.302,31
76.9,2.302,31
77.1,2.301,32
77.3,2.298,31
77.5,2.295,31
77.7,2.292,31
77.9,2.288,31
78.1,2.286,31
78.3,2.284,31
78.5,2.283,32
78.7,2.281,32
78.9,2.276,32
79.1,2.273,32
79.3,2.271,32
79.5,2.267,32
79.7,2.266,32
79.9,2.265,32
80.1,2.261,33
80.3,2.259,33
80.5,2.257,33
80.7,2.255,33
80.9,2.255,33
81.1,2.255,33
81.3,2.252,33
81.5,2.25,33
81.7,2.249,33
81.9,2.248,33
82.1,2.248,33
82.3,2.248,33
82.5,2.247,33
82.7,2.248,33
82.9,2.246,33
83.1,2.247,33
83.3,2.246,33
83.5,2.247,33
83.7,2.248,33
83.9,2.248,33
84.1,2.246,34
84.3,2.247,34
84.5,2.247,33
84.7,2.247,33
84.9,2.246,33
85.1,2.245,33
85.3,2.241,33
85.5,2.236,33
85.7,2.236,33
85.9,2.235,33
86.1,2.236,33
86.3,2.242,33
86.5,2.257,29
86.7,2.288,30
86.9,2.294,31
87.1,2.291,31
87.3,2.289,32
87.5,2.286,32
87.7,2.284,32
87.9,2.283,32
88.1,2.288,33
88.3,2.324,38
88.9,2.873,60
89.3,2.726,40
89.7,2.416,43
89.9,2.412,43
90.1,2.374,40
90.3,2.318,40
90.5,2.287,37
90.7,2.286,38
90.9,2.296,39
91.1,2.336,45
91.5,2.75,44
91.7,2.758,43
91.9,2.763,44
92.1,2.763,44
92.3,2.767,44
92.5,2.768,44
92.7,2.769,45
92.9,2.771,45
93.1,2.773,45
93.3,2.775,44
93.5,2.776,44
93.7,2.777,43
93.9,2.78,43
94.1,2.783,43
94.3,2.784,43
94.5,2.785,43
94.7,2.788,42
94.9,2.791,42
95.1,2.793,41
95.3,2.795,41
95.5,2.797,42
95.7,2.798,42
95.9,2.8,42
96.1,2.802,42
96.3,2.806,42
96.5,2.809,41
96.7,2.812,41
96.9,2.814,40
97.1,2.817,39
97.3,2.821,40
97.5,2.823,41
97.7,2.822,39
97.9,2.825,39
98.1,2.83,41
98.3,2.838,43
98.5,2.841,42
98.7,2.839,40
98.9,2.838,40
99.1,2.84,41
99.3,2.842,41
99.5,2.857,44
99.7,2.875,44
99.9,2.873,38
100.1,2.867,34
100.3,2.867,33
100.5,2.869,34
100.7,2.871,34
100.9,2.9,42
101.1,2.962,51
101.3,2.989,57
101.5,2.993,57
101.7,2.994,58
101.9,2.998,58
102.1,3,57
102.3,3,58
102.9,2.627,40
103.1,2.552,34
103.3,2.536,37
103.5,2.488,38
103.7,2.467,37
103.9,2.46,37
104.1,2.468,38
104.3,2.519,39
104.7,2.965,37
104.9,3.009,45
105.1,3,42
105.3,2.953,36
105.5,2.946,34
105.7,2.943,34
106.1,2.663,35
106.3,2.591,34
106.5,2.587,37
106.7,2.619,46
107.3,3.074,36
107.5,3.051,30
107.7,3.09,40
107.9,3.098,42
108.1,3.104,35
108.3,3.104,29
108.7,2.853,36
108.9,2.809,35
109.1,2.794,35
109.3,2.775,35
109.5,2.761,35
109.7,2.746,36
