azimuth_deg,distance_m,rssi
45.5,1.218,83
45.7,1.216,83
45.9,1.212,81
46.1,1.211,81
46.3,1.194,75
46.9,0.736,79
47.1,0.685,78
47.3,0.669,84
47.5,0.665,86
47.7,0.663,89
47.9,0.66,91
48.1,0.653,95
48.3,0.652,95
48.5,0.651,97
48.7,0.648,99
48.9,0.643,102
49.1,0.642,102
49.3,0.641,104
49.5,0.639,107
49.7,0.639,106
49.9,0.637,109
50.1,0.635,109
50.3,0.635,109
50.5,0.635,109
50.7,0.634,112
50.9,0.633,112
51.1,0.635,113
51.3,0.635,112
51.5,0.634,114
51.7,0.634,114
51.9,0.635,112
52.1,0.633,112
52.3,0.633,112
52.5,0.633,108
52.7,0.635,101
52.9,0.629,105
53.1,0.624,109
53.3,0.616,115
53.5,0.61,119
53.7,0.609,121
53.9,0.607,124
54.1,0.606,125
54.3,0.608,127
54.5,0.607,136
54.7,0.609,141
54.9,0.608,134
55.1,0.608,126
55.3,0.608,124
55.5,0.608,123
55.7,0.605,122
55.9,0.594,120
56.1,0.589,123
56.3,0.589,124
56.5,0.59,123
56.7,0.59,124
56.9,0.591,122
57.1,0.596,121
57.3,0.595,126
57.5,0.599,127
57.7,0.598,128
57.9,0.599,125
58.1,0.601,124
58.3,0.601,123
58.5,0.598,121
58.7,0.597,120
58.9,0.595,115
59.1,0.589,115
59.3,0.585,115
59.5,0.583,117
59.7,0.587,111
59.9,0.59,123
60.1,0.595,122
60.3,0.597,121
60.5,0.596,122
60.7,0.597,123
60.9,0.596,127
61.1,0.596,126
61.3,0.594,124
61.5,0.593,123
61.7,0.597,121
61.9,0.597,123
62.1,0.598,122
62.3,0.601,125
62.5,0.603,126
62.7,0.601,126
62.9,0.602,124
63.1,0.602,123
63.3,0.603,125
63.5,0.602,125
63.7,0.603,117
63.9,0.601,113
64.1,0.605,107
64.3,0.615,100
64.5,0.632,99
64.7,0.655,96
64.9,0.661,95
65.1,0.66,95
65.3,0.661,96
65.5,0.658,92
65.7,0.642,95
65.9,0.601,104
66.1,0.585,111
66.3,0.578,113
66.5,0.576,108
66.7,0.574,104
66.9,0.566,103
67.1,0.551,106
67.3,0.54,108
67.5,0.537,108
67.7,0.532,110
67.9,0.525,113
68.1,0.523,117
68.3,0.522,120
68.5,0.518,123
68.7,0.517,125
68.9,0.515,127
69.1,0.516,126
69.3,0.515,128
69.5,0.516,136
69.7,0.518,149
69.9,0.52,158
70.1,0.523,152
70.3,0.524,146
70.5,0.525,141
70.7,0.526,143
70.9,0.527,148
71.1,0.525,144
71.3,0.522,132
71.5,0.516,127
71.7,0.514,128
71.9,0.512,129
72.1,0.51,128
72.3,0.509,125
72.5,0.512,119
72.7,0.521,110
72.9,0.528,104
73.1,0.522,109
73.3,0.519,112
73.5,0.511,111
73.7,0.504,112
73.9,0.487,115
