timestamp,x,y,theta,vx,vy,omega,leftVel,rightVel,imuYaw,gyroZ,accelX,accelY
4158611987,0,0,-1.45524,0,0,0.00409671,0,0,276.38,0.06,-0.02,-0.04
4158612189,0,0,-1.45775,0,0,0.0508544,0,0,276.38,0.06,-0.03,-0.07
4158612378,0,0,-1.45792,0,0,0.0520026,0,0,276.38,0,-0.05,-0.07
4158612560,0,0,-1.46082,0,0,-0.0605669,0,0,276.38,0,-0.06,-0.06
4158612761,0,0,-1.45948,0,0,0.0188659,0,0,276.38,0.06,-0.03,-0.05
4158612962,0,0,-1.45935,0,0,0.0880998,0,0,276.38,0.13,-0.02,-0.06
4158613165,0,0,-1.45937,0,0,0.0323438,0,0,276.38,0.06,-0.04,-0.06
4158613353,0,0,-1.46115,0,0,-0.0500374,0,0,276.38,0,-0.03,-0.06
4158613543,0,0,-1.4587,0,0,0.113087,0,0,276.38,0.19,-0.04,-0.05
4158613750,0,0,-1.45963,0,0,-0.00210361,0,0,276.38,0,-0.02,-0.04
4158613956,0,0,-1.45989,0,0,-0.0502384,0,0,276.38,-0.06,-0.02,-0.06
4158614156,0,0,-1.45997,0,0,0.0248217,0,0,276.38,0.06,-0.05,-0.06
4158614358,0,0,-1.45871,0,0,0.0286589,0,0,276.38,0.06,-0.03,-0.07
4158614559,0,0,-1.45935,0,0,-0.028363,0,0,276.38,0,-0.06,-0.07
4158614761,0,0,-1.45782,0,0,0.0538018,0,0,276.38,0.06,-0.02,-0.08
4158614973,0,0,-1.46,0,0,-0.0322136,0,0,276.38,0,-0.05,-0.06
4158615173,0,0,-1.45945,0,0,-0.0246806,0,0,276.38,0,-0.05,-0.05
4158615374,0,0,-1.45975,0,0,-0.0517929,0,0,276.38,-0.13,-0.03,-0.07
4158615574,0,0,-1.45842,0,0,0.0499401,0,0,276.38,0.06,-0.02,-0.07
4158615775,0,0,-1.45826,0,0,0.0517887,0,0,276.38,0.06,-0.04,-0.05
4158615965,0,0,-1.45836,0,0,0.00183677,0,0,276.38,0,-0.02,-0.04
4158616166,0,0,-1.46074,0,0,-0.0927388,0,0,276.38,-0.13,-0.03,-0.05
4158616367,0,0,-1.46148,0,0,-0.0541721,0,0,276.38,-0.06,-0.03,-0.07
4158616567,0,0,-1.45976,0,0,-0.0457591,0,0,276.38,-0.06,-0.05,-0.06
4158616770,0,0,-1.45964,0,0,-0.0408291,0,0,276.38,-0.06,-0.03,-0.05
4158616969,0,0,-1.45951,0,0,0.0517541,0,0,276.38,0.13,-0.03,-0.05
4158617170,0,0,-1.45758,0,0,0.102484,0,0,276.38,0.13,-0.03,-0.06
4158617362,0,0,-1.45826,0,0,0.0445157,0,0,276.38,0,-0.06,-0.06
4158617566,0,0,-1.45827,0,0,0.00521206,0,0,276.38,0.06,-0.01,-0.04
4158617767,0,0,-1.45846,0,0,0.0757303,0,0,276.38,0.06,-0.04,-0.05
